
[19-Aug-2026 09:03:01] run02 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=409.6s
[19-Aug-2026 09:06:22] run02 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=610.1s
[19-Aug-2026 09:10:30] run02 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=858.5s
[19-Aug-2026 09:14:45] run02 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1113.4s
[19-Aug-2026 09:18:57] run02 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1365.2s
[19-Aug-2026 09:23:14] run02 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1622.5s
[19-Aug-2026 09:27:27] run02 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=1874.9s
[19-Aug-2026 09:31:22] run02 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2110.4s
[19-Aug-2026 09:35:28] run02 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2356.1s
[19-Aug-2026 09:40:11] run02 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2639.5s
[19-Aug-2026 09:45:39] run02 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=2966.9s
[19-Aug-2026 09:51:48] run02 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3336.6s
[19-Aug-2026 09:57:41] run02 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=3689.3s
[19-Aug-2026 10:03:11] run02 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4019.5s
[19-Aug-2026 10:03:11] run02 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4019.5s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run02_CAMPAIGN.mat
[19-Aug-2026 10:06:48] run03 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=216.8s
[19-Aug-2026 10:11:27] run03 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=495.2s
[19-Aug-2026 10:16:14] run03 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=783.1s
[19-Aug-2026 10:20:22] run03 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=1030.8s
[19-Aug-2026 10:25:00] run03 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1308.7s
[19-Aug-2026 10:30:22] run03 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1630.7s
[19-Aug-2026 10:35:38] run03 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1946.6s
[19-Aug-2026 10:41:05] run03 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=2274.2s
[19-Aug-2026 10:45:55] run03 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2563.3s
[19-Aug-2026 10:51:01] run03 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2869.5s
[19-Aug-2026 10:56:07] run03 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=3176.0s
[19-Aug-2026 11:01:32] run03 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3500.6s
[19-Aug-2026 11:07:21] run03 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3849.9s
[19-Aug-2026 11:12:31] run03 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=4159.5s
[19-Aug-2026 11:17:50] run03 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4479.1s
[19-Aug-2026 11:17:50] run03 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4479.1s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run03_CAMPAIGN.mat
[19-Aug-2026 11:22:57] run04 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=306.9s
[19-Aug-2026 11:28:46] run04 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=655.7s
[19-Aug-2026 11:34:59] run04 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=1029.0s
[19-Aug-2026 11:41:12] run04 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=1401.7s
[19-Aug-2026 11:46:54] run04 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1743.7s
[19-Aug-2026 11:51:48] run04 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=2037.8s
[19-Aug-2026 11:55:17] run04 it=70/150 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=2246.2s
[19-Aug-2026 11:59:26] run04 it=80/150 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=2495.6s
[19-Aug-2026 12:03:57] run04 it=90/150 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2766.7s
[19-Aug-2026 12:07:58] run04 it=100/150 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=3007.7s
[19-Aug-2026 12:12:29] run04 it=110/150 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=3278.9s
[19-Aug-2026 12:17:41] run04 it=120/150 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3590.2s
[19-Aug-2026 12:23:06] run04 it=130/150 best(penalized)=0.0000 raw=0.0000 FEs=3930 elapsed=3915.4s
[19-Aug-2026 12:28:52] run04 it=140/150 best(penalized)=0.0000 raw=0.0000 FEs=4230 elapsed=4261.8s
[19-Aug-2026 12:34:05] run04 it=150/150 best(penalized)=0.0000 raw=0.0000 FEs=4530 elapsed=4574.2s
[19-Aug-2026 12:34:05] run04 DONE best(penalized)=0.0000 raw=0.0000 elapsed=4574.2s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run04_CAMPAIGN.mat
[19-Aug-2026 12:37:54] run05 it=10/150 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=229.4s
[19-Aug-2026 12:40:51] run05 it=20/150 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=406.1s
[19-Aug-2026 12:46:05] run05 it=30/150 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=720.4s
[19-Aug-2026 12:51:03] run05 it=40/150 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=1018.8s
[19-Aug-2026 12:55:45] run05 it=50/150 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1300.0s
[19-Aug-2026 13:00:25] run05 it=60/150 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1580.6s
