FE,IGD_mean,IGD_std,HV_mean,HV_std
50,0.0421474079520922,0.00912132627272563,41167.0867289183,187.240272837233
300,0.0317002023351396,0.00884147977227694,41313.2855535713,197.957870080698
550,0.0284836559201724,0.0139246008575817,41384.3976910301,182.491927325041
800,0.0200996330469155,0.00845453929004466,41463.0617475677,164.09827749549
1050,0.0172601730735781,0.00789539511149765,41517.6243376901,134.837091996711
1300,0.0139252251217407,0.00697300028020852,41543.812023896,123.015607166411
1550,0.0120572865692924,0.00715877881416222,41561.1469080383,123.242926225776
1800,0.00993271000880888,0.00664672920168331,41572.43482157,114.104109392941
2050,0.00761249526966463,0.00564109488059094,41595.0124357405,93.6237350457353
2300,0.00603726623479357,0.00400096525042269,41617.3575882797,50.7230583874792
2550,0.0053418847078933,0.00326032468047169,41628.4604377638,30.9209319954506
2800,0.00419791277355538,0.00240064629936865,41637.610222757,27.9909841820282
3050,0.00355875159337458,0.00202016267685944,41641.082375011,25.3554420262162
3300,0.00309014670365642,0.00199032357910194,41642.4674598376,23.7962491889234
3550,0.00290940034075398,0.00198555105331888,41643.0496959785,22.6454445431391
3800,0.00261589374619069,0.00178853745911941,41645.7343252237,18.5166783791378
4050,0.00251978305870055,0.00177443958505287,41646.3386848936,18.2411119958675
4300,0.00235219862924136,0.00174680525090744,41646.4037838727,18.1356011558012
4550,0.00203298128232152,0.00156391227008897,41648.3191701143,15.5760695412064
4800,0.00178501889210586,0.00129572981596766,41649.9746416682,13.2104725286329
5050,0.00156648947439829,0.00109374840863497,41652.2477966915,9.34787392658657
5300,0.00152893120415722,0.00110542521036314,41652.2491641839,9.34813189062937
5550,0.00146657080677195,0.00110926022453358,41652.2548356093,9.3489910242018
5800,0.00140314445190429,0.00112124718412796,41652.2628640396,9.35049261109324
6050,0.00129374948078175,0.00112613927605753,41652.2826084136,9.35385739957321
6300,0.00127026574430005,0.00117583008877574,41652.3531337842,8.9853819731392
6550,0.00117163821457679,0.00110893049781191,41652.3547297059,8.98568199697535
6800,0.00111700924529093,0.00111268481709982,41652.3559664676,8.98560441119752
7050,0.00102505159284604,0.00102521060901989,41652.3578452965,8.98595743664057
7300,0.000815891747846906,0.000493544791867467,41653.9996639802,0.0484260502059229
7550,0.000804999374651526,0.000498702104734506,41653.9998306326,0.0484369867435481
7800,0.000796241548731457,0.00049840516186121,41654.0000551051,0.0484822537410833
8050,0.000728574652473606,0.000280199626998553,41654.0064780303,0.0175385801684423
8300,0.000683528494318519,0.000220497199785841,41654.0090299846,0.0100926309606641
8550,0.000676250612807063,0.000217524125730216,41654.0091650747,0.0100136033791507
8800,0.000651355715769304,0.00021450157390136,41654.0102101657,0.00961656729269903
9050,0.000640116524614394,0.000213156725225928,41654.010743373,0.00952224968711627
9300,0.00063106722616178,0.000207762398857932,41654.0117543569,0.00846588199622972
9550,0.000614046008875685,0.000199041017123237,41654.0124018838,0.0071295955823648
9800,0.000598820669531273,0.000201973186189259,41654.0132022909,0.00700982423547484
10050,0.000594195077066943,0.000203867900813191,41654.0132495546,0.007016669957122
10300,0.000588631846420896,0.0002068342418592,41654.0133131782,0.00706608356041722
10550,0.000580920312196672,0.000202341545626037,41654.0136065297,0.00656610347461543
10800,0.000566694933994711,0.00021668259280209,41654.0137412988,0.00663942954202135
11050,0.000563306467815188,0.000216022239255207,41654.0138574861,0.0065905032885303
11300,0.000560961314157886,0.000216032243736671,41654.0138832197,0.00660516042762655
11550,0.000550938211358731,0.000202672983736359,41654.0140736969,0.00657037056737541
11800,0.000546132742085644,0.000195023019592606,41654.0143187695,0.0064859192177095
12050,0.000543860446304513,0.000193643741888878,41654.0143518509,0.00647905859681673
12300,0.000527927447250634,0.000183513294568736,41654.0145494984,0.00644969575400525
12550,0.000506494970328845,0.00018192901074595,41654.014967357,0.00644697209945669
