Metric,MOFDA_mean,MOFDA_std,MOSFOA_mean,MOSFOA_std,p_value,h_reject0p05,zval
GD,3.09483039394762e-05,8.11142832026922e-05,0,0,0.0418652572005837,1,2.03485706496889
IGD,0.000506494970328845,0.00018192901074595,0.000100335399316775,7.35816535242581e-05,1.07119261049484e-10,1,6.4565465243829
HV,41654.014967357,0.00644697209945669,41654.0213990375,0.000170818467493217,6.52497349073321e-11,1,-6.53118868073415
NumExactMatch,99.7666666666667,0.626062315579292,100,0,0.0418652572005837,1,-2.03485706496889
