FE,IGD_mean,IGD_std,HV_mean,HV_std
50,0.0454602369755193,0.017884524472853,41199.1020959559,259.688647571652
100,0.0233665895306591,0.00989522519650091,41456.9069239458,136.635703561894
150,0.01528509571823,0.00690488631943082,41542.8079535027,52.3960612982047
200,0.0107498452714464,0.00532957114428757,41581.1285175661,41.8014973959818
250,0.00876597003958373,0.0052502412910809,41594.961260141,48.7846628428751
300,0.00676183030122736,0.00493008728618618,41618.0961078659,39.7507057390715
350,0.00600673864092914,0.0050388468448057,41625.680299618,34.725730636943
400,0.00504916921592342,0.00489256090542182,41634.7076844392,30.5679141067485
450,0.00460968717651571,0.00487479438003562,41639.3954223923,26.472717610672
500,0.00377642573162247,0.0042467143948397,41643.791097025,24.0423431950615
550,0.00350429956786209,0.00422868167819571,41645.1664993216,23.3825750500359
600,0.00317328074448003,0.00425232062406131,41646.8263384309,22.1313554182153
650,0.0030458951928378,0.0042578163137287,41646.8445499082,22.1370857011588
700,0.00247934021834029,0.0031924714499081,41647.9416367488,20.8517928150395
750,0.0019251388493474,0.00131012185280504,41650.2874218671,14.9320136778021
800,0.00181549610341755,0.00129008047849831,41650.3678008041,14.9466322284102
850,0.00173289929742982,0.00130913185452379,41650.3736752422,14.9479023768942
900,0.00167758906652169,0.00131693567842251,41650.3787010723,14.9488781178476
950,0.00164628262916608,0.0013250087858671,41650.3800991911,14.9490498155308
1000,0.00158441428122018,0.00125922923689402,41650.3868951693,14.9400769564217
1050,0.0015580361749098,0.00126542162673099,41650.3890174286,14.940606347761
1100,0.00154387527891218,0.00126893832953871,41650.3897525604,14.9407629275832
1150,0.00149377518073414,0.00128157086053608,41650.3910249262,14.9410803298077
1200,0.00146027011978412,0.00128825249154577,41650.3921730974,14.9411833993946
1250,0.00143927449488177,0.00127189960903775,41650.3964294617,14.9342175871254
1300,0.00120824037357853,0.000769893246738556,41652.9508450285,5.74657026741531
1350,0.00117840810909763,0.000771939535672466,41652.9515966672,5.74671156023367
1400,0.00116286708733288,0.000769824541499308,41652.9520563772,5.7463939784311
1450,0.00114224528555141,0.000771576897193005,41652.9525686983,5.74649029747977
1500,0.00113477309387336,0.000769119058123871,41652.9527917715,5.74625506559998
1550,0.00111343486303285,0.000776123450147235,41652.9539403107,5.74647246219196
1600,0.00110032204257587,0.000777695392089066,41652.9544716869,5.74657263626107
1650,0.00107418432050096,0.000780934134670955,41652.955050228,5.74668170830295
1700,0.00105429121475892,0.000785476080883611,41652.9557480316,5.74681250893128
1750,0.00103050639288704,0.000792159659002467,41652.9564187392,5.74693959635155
1800,0.000997993524557293,0.000795865913381373,41652.95736576,5.74711748360834
1850,0.000985491730505274,0.000795371258759148,41652.9576935002,5.74683963930476
1900,0.000967689679200203,0.000795357209132764,41652.958423225,5.74697774007177
1950,0.000946321800443303,0.000798250239309864,41652.9590151112,5.74708890823281
2000,0.000924727094485821,0.000802413558898889,41652.9596322477,5.74720552100717
2050,0.000910742288458371,0.000800177991329819,41652.9606271521,5.74697557639236
2100,0.00089429347215614,0.000802427142452897,41652.9611485565,5.74681812570114
2150,0.000891355759693223,0.000802656498362816,41652.9612342825,5.74675110223526
2200,0.000879896613328855,0.000802389160815908,41652.9615068632,5.7468024033189
2250,0.000877862786867658,0.000802967287098141,41652.9615517076,5.74681090521589
2300,0.000848835831201067,0.0008067539359282,41652.9622653231,5.74694495177806
2350,0.000829214924517278,0.000810629856327092,41652.9627815119,5.74704236645692
2400,0.00082034965254099,0.000812752307728057,41652.9629629011,5.74707670043297
2450,0.000803924159942967,0.00081462194865748,41652.9632376295,5.74712842073085
2500,0.000796953809982246,0.000816429624075988,41652.9633159422,5.74714325711584
2550,0.000792532295760339,0.000816504992351997,41652.9634007141,5.74715916033768
2600,0.00076851436847044,0.000823482207548456,41652.9638807131,5.74724997094051
2650,0.000743821367902611,0.000819109921541366,41652.9644156107,5.7473502517676
2700,0.00073857716133203,0.000819367843609226,41652.9646695669,5.74739794996707
2750,0.000724000393343596,0.000822187156633177,41652.9651985552,5.74749774865589
2800,0.000708531952134864,0.000827682638281907,41652.9654526697,5.74745977945092
