[2026-09-12 16:04:27] === watchdog_campaign start: Proj=A Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-12 16:04:30] ----- Bat dau run01 (1/20) -----
[2026-09-12 16:32:56] run01 : poll - elapsed=1702s log_stale=77s
[2026-09-12 16:33:16] run01 : poll - elapsed=1722s log_stale=97s
[2026-09-12 16:33:36] run01 : poll - elapsed=1742s log_stale=117s
[2026-09-12 16:33:56] run01 : poll - elapsed=1762s log_stale=137s
[2026-09-12 16:34:16] run01 : poll - elapsed=1782s log_stale=16s
[2026-09-12 16:34:36] run01 : poll - elapsed=1802s log_stale=36s
[2026-09-12 16:34:56] run01 : poll - elapsed=1822s log_stale=56s
[2026-09-12 16:35:16] run01 : poll - elapsed=1842s log_stale=76s
[2026-09-12 16:35:36] run01 : poll - elapsed=1862s log_stale=96s
[2026-09-12 16:35:56] run01 : poll - elapsed=1882s log_stale=116s
[2026-09-12 16:36:16] run01 : poll - elapsed=1902s log_stale=136s
[2026-09-12 16:36:36] run01 : poll - elapsed=1922s log_stale=15s
[2026-09-12 16:36:56] run01 : poll - elapsed=1942s log_stale=35s
[2026-09-12 16:37:16] run01 : poll - elapsed=1962s log_stale=55s
[2026-09-12 16:37:36] run01 : poll - elapsed=1982s log_stale=75s
[2026-09-12 16:37:56] run01 : poll - elapsed=2002s log_stale=95s
[2026-09-12 16:38:16] run01 : poll - elapsed=2022s log_stale=115s
[2026-09-12 16:38:36] run01 : poll - elapsed=2042s log_stale=135s
[2026-09-12 16:38:56] run01 : poll - elapsed=2062s log_stale=15s
[2026-09-12 16:39:16] run01 : poll - elapsed=2082s log_stale=35s
[2026-09-12 16:39:36] run01 : poll - elapsed=2102s log_stale=55s
[2026-09-12 16:39:56] run01 : poll - elapsed=2122s log_stale=75s
[2026-09-12 16:40:16] run01 : poll - elapsed=2142s log_stale=95s
[2026-09-12 16:40:36] run01 : poll - elapsed=2162s log_stale=115s
[2026-09-12 16:40:56] run01 : poll - elapsed=2182s log_stale=135s
[2026-09-12 16:41:16] run01 : poll - elapsed=2202s log_stale=15s
[2026-09-12 16:41:36] run01 : poll - elapsed=2222s log_stale=35s
[2026-09-12 16:41:56] run01 : poll - elapsed=2242s log_stale=55s
[2026-09-12 16:42:16] run01 : poll - elapsed=2262s log_stale=75s
[2026-09-12 16:42:36] run01 : poll - elapsed=2282s log_stale=95s
[2026-09-12 16:42:56] run01 : poll - elapsed=2302s log_stale=115s
[2026-09-12 16:43:16] run01 : poll - elapsed=2322s log_stale=135s
[2026-09-12 16:43:36] run01 : poll - elapsed=2342s log_stale=14s
[2026-09-12 16:43:56] run01 : poll - elapsed=2362s log_stale=34s
[2026-09-12 16:44:16] run01 : poll - elapsed=2382s log_stale=54s
[2026-09-12 16:44:36] run01 : poll - elapsed=2402s log_stale=74s
[2026-09-12 16:44:56] run01 : poll - elapsed=2422s log_stale=94s
[2026-09-12 16:45:16] run01 : poll - elapsed=2442s log_stale=114s
[2026-09-12 16:45:36] run01 : poll - elapsed=2462s log_stale=134s
[2026-09-12 16:45:56] run01 : poll - elapsed=2482s log_stale=12s
[2026-09-12 16:46:16] run01 : poll - elapsed=2502s log_stale=32s
[2026-09-12 16:46:36] run01 : poll - elapsed=2522s log_stale=52s
