[2026-09-11 17:56:52] === watchdog_campaign start: Proj=B Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-11 17:56:55] ----- Bat dau run01 (1/20) -----
[2026-09-11 18:25:20] run01 : poll - elapsed=1702s log_stale=138s
[2026-09-11 18:25:40] run01 : poll - elapsed=1722s log_stale=158s
[2026-09-11 18:26:00] run01 : poll - elapsed=1742s log_stale=178s
[2026-09-11 18:26:20] run01 : poll - elapsed=1762s log_stale=15s
[2026-09-11 18:26:40] run01 : poll - elapsed=1782s log_stale=35s
[2026-09-11 18:27:00] run01 : poll - elapsed=1802s log_stale=55s
[2026-09-11 18:27:20] run01 : poll - elapsed=1822s log_stale=75s
[2026-09-11 18:27:40] run01 : poll - elapsed=1842s log_stale=95s
[2026-09-11 18:28:00] run01 : poll - elapsed=1862s log_stale=115s
[2026-09-11 18:28:20] run01 : poll - elapsed=1882s log_stale=135s
[2026-09-11 18:28:40] run01 : poll - elapsed=1902s log_stale=155s
[2026-09-11 18:29:01] run01 : poll - elapsed=1922s log_stale=175s
[2026-09-11 18:29:21] run01 : poll - elapsed=1942s log_stale=10s
[2026-09-11 18:29:41] run01 : poll - elapsed=1962s log_stale=30s
[2026-09-11 18:30:01] run01 : poll - elapsed=1982s log_stale=50s
[2026-09-11 18:30:21] run01 : poll - elapsed=2002s log_stale=70s
[2026-09-11 18:30:41] run01 : poll - elapsed=2022s log_stale=90s
[2026-09-11 18:31:01] run01 : poll - elapsed=2042s log_stale=110s
[2026-09-11 18:31:21] run01 : poll - elapsed=2062s log_stale=130s
[2026-09-11 18:31:41] run01 : poll - elapsed=2082s log_stale=150s
[2026-09-11 18:32:01] run01 : poll - elapsed=2102s log_stale=170s
[2026-09-11 18:32:21] run01 : poll - elapsed=2122s log_stale=5s
[2026-09-11 18:32:41] run01 : poll - elapsed=2142s log_stale=25s
[2026-09-11 18:33:01] run01 : poll - elapsed=2162s log_stale=45s
[2026-09-11 18:33:21] run01 : poll - elapsed=2182s log_stale=65s
[2026-09-11 18:33:41] run01 : poll - elapsed=2202s log_stale=85s
[2026-09-11 18:34:01] run01 : poll - elapsed=2222s log_stale=105s
[2026-09-11 18:34:21] run01 : poll - elapsed=2242s log_stale=125s
[2026-09-11 18:34:41] run01 : poll - elapsed=2262s log_stale=145s
[2026-09-11 18:35:01] run01 : poll - elapsed=2282s log_stale=165s
[2026-09-11 18:35:21] run01 : poll - elapsed=2302s log_stale=0s
[2026-09-11 18:35:41] run01 : poll - elapsed=2322s log_stale=20s
[2026-09-11 18:36:01] run01 : poll - elapsed=2342s log_stale=40s
[2026-09-11 18:36:21] run01 : poll - elapsed=2362s log_stale=60s
[2026-09-11 18:36:41] run01 : poll - elapsed=2382s log_stale=80s
[2026-09-11 18:37:01] run01 : poll - elapsed=2402s log_stale=100s
[2026-09-11 18:37:21] run01 : poll - elapsed=2423s log_stale=120s
[2026-09-11 18:37:41] run01 : poll - elapsed=2443s log_stale=140s
[2026-09-11 18:38:01] run01 : poll - elapsed=2463s log_stale=160s
[2026-09-11 18:38:21] run01 : poll - elapsed=2483s log_stale=180s
[2026-09-11 18:38:41] run01 : poll - elapsed=2503s log_stale=13s
[2026-09-11 18:39:01] run01 : poll - elapsed=2523s log_stale=33s
[2026-09-11 18:39:21] run01 : poll - elapsed=2543s log_stale=53s
[2026-09-11 18:39:41] run01 : poll - elapsed=2563s log_stale=73s
[2026-09-11 18:40:01] run01 : poll - elapsed=2583s log_stale=93s
[2026-09-11 18:40:21] run01 : poll - elapsed=2603s log_stale=113s
[2026-09-11 18:40:41] run01 : poll - elapsed=2623s log_stale=133s
[2026-09-11 18:41:01] run01 : poll - elapsed=2643s log_stale=153s
[2026-09-11 18:41:21] run01 : poll - elapsed=2663s log_stale=173s
[2026-09-11 18:41:41] run01 : poll - elapsed=2683s log_stale=2s
[2026-09-11 18:42:01] run01 : poll - elapsed=2703s log_stale=22s
[2026-09-11 18:42:21] run01 : poll - elapsed=2723s log_stale=42s
[2026-09-11 18:42:41] run01 : poll - elapsed=2743s log_stale=62s
[2026-09-11 18:43:01] run01 : poll - elapsed=2763s log_stale=82s
[2026-09-11 18:43:21] run01 : poll - elapsed=2783s log_stale=102s
[2026-09-11 18:43:41] run01 : poll - elapsed=2803s log_stale=122s
[2026-09-11 18:44:01] run01 : poll - elapsed=2823s log_stale=142s
[2026-09-11 18:44:22] run01 : poll - elapsed=2843s log_stale=162s
[2026-09-11 18:44:42] run01 : poll - elapsed=2863s log_stale=182s
[2026-09-11 18:45:02] run01 : poll - elapsed=2883s log_stale=18s
[2026-09-11 18:45:22] run01 : poll - elapsed=2903s log_stale=38s
[2026-09-11 18:45:42] run01 : poll - elapsed=2923s log_stale=58s
[2026-09-11 18:46:02] run01 : poll - elapsed=2943s log_stale=78s
[2026-09-11 18:46:22] run01 : poll - elapsed=2963s log_stale=98s
[2026-09-11 18:46:42] run01 : poll - elapsed=2983s log_stale=118s
[2026-09-11 18:47:02] run01 : poll - elapsed=3003s log_stale=138s
[2026-09-11 18:47:22] run01 : poll - elapsed=3023s log_stale=158s
[2026-09-11 18:47:42] run01 : poll - elapsed=3043s log_stale=178s
[2026-09-11 18:48:02] run01 : poll - elapsed=3063s log_stale=11s
[2026-09-11 18:48:22] run01 : poll - elapsed=3083s log_stale=31s
[2026-09-11 18:48:42] run01 : poll - elapsed=3103s log_stale=51s
[2026-09-11 18:49:02] run01 : poll - elapsed=3123s log_stale=72s
[2026-09-11 18:49:22] run01 : poll - elapsed=3143s log_stale=92s
[2026-09-11 18:49:42] run01 : poll - elapsed=3163s log_stale=112s
[2026-09-11 18:50:02] run01 : poll - elapsed=3183s log_stale=132s
[2026-09-11 18:50:22] run01 : poll - elapsed=3203s log_stale=152s
[2026-09-11 18:50:42] run01 : poll - elapsed=3223s log_stale=172s
[2026-09-11 18:51:02] run01 : poll - elapsed=3243s log_stale=8s
[2026-09-11 18:51:22] run01 : poll - elapsed=3263s log_stale=28s
[2026-09-11 18:51:42] run01 : poll - elapsed=3283s log_stale=48s
[2026-09-11 18:52:02] run01 : poll - elapsed=3303s log_stale=68s
[2026-09-11 18:52:22] run01 : poll - elapsed=3323s log_stale=88s
[2026-09-11 18:52:42] run01 : poll - elapsed=3343s log_stale=108s
[2026-09-11 18:53:02] run01 : poll - elapsed=3363s log_stale=128s
[2026-09-11 18:53:22] run01 : poll - elapsed=3383s log_stale=148s
[2026-09-11 18:53:42] run01 : poll - elapsed=3403s log_stale=168s
[2026-09-11 18:54:02] run01 : poll - elapsed=3423s log_stale=3s
[2026-09-11 18:54:22] run01 : poll - elapsed=3443s log_stale=23s
[2026-09-11 18:54:42] run01 : poll - elapsed=3463s log_stale=43s
[2026-09-11 18:55:02] run01 : poll - elapsed=3483s log_stale=63s
[2026-09-11 18:55:22] run01 : poll - elapsed=3504s log_stale=83s
[2026-09-11 18:55:42] run01 : poll - elapsed=3524s log_stale=103s
[2026-09-11 18:56:02] run01 : poll - elapsed=3544s log_stale=123s
[2026-09-11 18:56:22] run01 : poll - elapsed=3564s log_stale=143s
[2026-09-11 18:56:42] run01 : poll - elapsed=3584s log_stale=164s
[2026-09-11 18:57:02] run01 : poll - elapsed=3604s log_stale=184s
[2026-09-11 18:57:22] run01 : poll - elapsed=3624s log_stale=18s
[2026-09-11 18:57:42] run01 : poll - elapsed=3644s log_stale=38s
[2026-09-11 18:58:02] run01 : poll - elapsed=3664s log_stale=58s
[2026-09-11 18:58:22] run01 : poll - elapsed=3684s log_stale=78s
[2026-09-11 18:58:42] run01 : poll - elapsed=3704s log_stale=98s
[2026-09-11 18:59:02] run01 : poll - elapsed=3724s log_stale=118s
[2026-09-11 18:59:22] run01 : poll - elapsed=3744s log_stale=138s
[2026-09-11 18:59:42] run01 : poll - elapsed=3764s log_stale=158s
[2026-09-11 19:00:02] run01 : poll - elapsed=3784s log_stale=178s
[2026-09-11 19:00:22] run01 : poll - elapsed=3804s log_stale=11s
[2026-09-11 19:00:42] run01 : poll - elapsed=3824s log_stale=31s
[2026-09-11 19:01:02] run01 : poll - elapsed=3844s log_stale=51s
[2026-09-11 19:01:22] run01 : poll - elapsed=3864s log_stale=71s
[2026-09-11 19:01:42] run01 : poll - elapsed=3884s log_stale=91s
[2026-09-11 19:02:02] run01 : poll - elapsed=3904s log_stale=111s
[2026-09-11 19:02:22] run01 : poll - elapsed=3924s log_stale=131s
[2026-09-11 19:02:42] run01 : poll - elapsed=3944s log_stale=151s
[2026-09-11 19:03:03] run01 : poll - elapsed=3964s log_stale=171s
[2026-09-11 19:03:23] run01 : THANH CONG - D:\ResearchLab\02_Projects\02_Projects\MOSFOA paper 2\code\results\MOSFOA2_B_Np8_Maxit20_run01_FINAL.mat da xuat hien.
[2026-09-11 19:03:23] ----- Bat dau run02 (2/20) -----
[2026-09-11 19:03:26] run02 : launching MATLAB (attempt 1)
[2026-09-11 19:03:46] run02 : poll - elapsed=20s log_stale=9s
[2026-09-11 19:04:06] run02 : poll - elapsed=40s log_stale=16s
[2026-09-11 19:04:26] run02 : poll - elapsed=60s log_stale=36s
[2026-09-11 19:04:46] run02 : poll - elapsed=80s log_stale=56s
[2026-09-11 19:05:06] run02 : poll - elapsed=100s log_stale=76s
[2026-09-11 19:05:26] run02 : poll - elapsed=120s log_stale=96s
[2026-09-11 19:05:46] run02 : poll - elapsed=140s log_stale=116s
[2026-09-11 19:06:06] run02 : poll - elapsed=160s log_stale=136s
[2026-09-11 19:06:26] run02 : poll - elapsed=180s log_stale=156s
[2026-09-11 19:06:46] run02 : poll - elapsed=200s log_stale=176s
[2026-09-11 19:07:06] run02 : poll - elapsed=220s log_stale=196s
[2026-09-11 19:07:26] run02 : poll - elapsed=240s log_stale=216s
[2026-09-11 19:07:46] run02 : poll - elapsed=260s log_stale=7s
[2026-09-11 19:08:07] run02 : poll - elapsed=280s log_stale=27s
[2026-09-11 19:08:27] run02 : poll - elapsed=300s log_stale=47s
[2026-09-11 19:08:47] run02 : poll - elapsed=320s log_stale=67s
[2026-09-11 19:09:07] run02 : poll - elapsed=340s log_stale=87s
[2026-09-11 19:09:27] run02 : poll - elapsed=360s log_stale=107s
[2026-09-11 19:09:47] run02 : poll - elapsed=380s log_stale=127s
[2026-09-11 19:10:07] run02 : poll - elapsed=400s log_stale=147s
[2026-09-11 19:10:27] run02 : poll - elapsed=420s log_stale=167s
[2026-09-11 19:10:47] run02 : poll - elapsed=440s log_stale=187s
[2026-09-11 19:11:07] run02 : poll - elapsed=460s log_stale=20s
[2026-09-11 19:11:27] run02 : poll - elapsed=480s log_stale=40s
[2026-09-11 19:11:47] run02 : poll - elapsed=500s log_stale=60s
[2026-09-11 19:12:07] run02 : poll - elapsed=520s log_stale=80s
[2026-09-11 19:12:27] run02 : poll - elapsed=541s log_stale=100s
[2026-09-11 19:12:47] run02 : poll - elapsed=561s log_stale=120s
[2026-09-11 19:13:07] run02 : poll - elapsed=581s log_stale=140s
[2026-09-11 19:13:27] run02 : poll - elapsed=601s log_stale=160s
[2026-09-11 19:13:47] run02 : poll - elapsed=621s log_stale=180s
[2026-09-11 19:14:07] run02 : poll - elapsed=641s log_stale=15s
[2026-09-11 19:14:27] run02 : poll - elapsed=661s log_stale=35s
[2026-09-11 19:14:47] run02 : poll - elapsed=681s log_stale=55s
[2026-09-11 19:15:07] run02 : poll - elapsed=701s log_stale=75s
[2026-09-11 19:15:27] run02 : poll - elapsed=721s log_stale=95s
[2026-09-11 19:15:47] run02 : poll - elapsed=741s log_stale=115s
[2026-09-11 19:16:07] run02 : poll - elapsed=761s log_stale=135s
[2026-09-11 19:16:27] run02 : poll - elapsed=781s log_stale=155s
[2026-09-11 19:16:47] run02 : poll - elapsed=801s log_stale=175s
[2026-09-11 19:17:07] run02 : poll - elapsed=821s log_stale=11s
[2026-09-11 19:17:27] run02 : poll - elapsed=841s log_stale=31s
[2026-09-11 19:17:47] run02 : poll - elapsed=861s log_stale=51s
[2026-09-11 19:18:07] run02 : poll - elapsed=881s log_stale=71s
[2026-09-11 19:18:27] run02 : poll - elapsed=901s log_stale=91s
[2026-09-11 19:18:47] run02 : poll - elapsed=921s log_stale=111s
[2026-09-11 19:19:07] run02 : poll - elapsed=941s log_stale=131s
[2026-09-11 19:19:27] run02 : poll - elapsed=961s log_stale=151s
[2026-09-11 19:19:47] run02 : poll - elapsed=981s log_stale=171s
[2026-09-11 19:20:07] run02 : poll - elapsed=1001s log_stale=7s
[2026-09-11 19:20:27] run02 : poll - elapsed=1021s log_stale=27s
[2026-09-11 19:20:47] run02 : poll - elapsed=1041s log_stale=47s
[2026-09-11 19:21:07] run02 : poll - elapsed=1061s log_stale=67s
[2026-09-11 19:21:27] run02 : poll - elapsed=1081s log_stale=87s
[2026-09-11 19:21:47] run02 : poll - elapsed=1101s log_stale=107s
[2026-09-11 19:22:07] run02 : poll - elapsed=1121s log_stale=127s
[2026-09-11 19:22:27] run02 : poll - elapsed=1141s log_stale=147s
[2026-09-11 19:22:47] run02 : poll - elapsed=1161s log_stale=167s
[2026-09-11 19:23:07] run02 : poll - elapsed=1181s log_stale=187s
[2026-09-11 19:23:27] run02 : poll - elapsed=1201s log_stale=20s
