frame,pile_type,fem_length_m,Lfab_m_calibrated
166,Steel_D1016,28.901947,32.000000
167,Steel_D1016,28.901947,32.000000
168,Steel_D1016,28.706106,31.810060
169,Steel_D1016,28.706106,31.810060
170,Steel_D1016,28.706106,31.810060
171,Steel_D1016,28.706106,31.810060
172,Steel_D1016,28.706106,31.810060
173,Steel_D1016,28.706106,31.810060
174,Steel_D1016,28.706106,31.810060
175,Steel_D1016,25.511181,28.711391
176,Steel_D1016,25.511181,28.711391
177,Steel_D1016,25.511181,28.711391
178,Steel_D1016,25.511181,28.711391
179,Steel_D1016,25.511181,28.711391
180,Steel_D1016,25.511181,28.711391
181,Steel_D1016,28.614243,31.720965
182,Steel_D1016,24.777692,28.000000
183,Steel_D1016,24.777692,28.000000
184,Steel_D1016,24.777692,28.000000
185,Steel_D1016,24.777692,28.000000
186,Steel_D1016,24.777692,28.000000
187,Steel_D1016,24.777692,28.000000
188,Steel_D1016,24.777692,28.000000
189,Steel_D1016,28.901947,32.000000
190,Steel_D1016,28.901947,32.000000
191,Steel_D1016,28.901947,32.000000
192,Steel_D1016,28.901947,32.000000
193,Steel_D1016,28.901947,32.000000
194,Steel_D1016,28.901947,32.000000
195,Steel_D1016,24.825489,28.046358
196,Steel_D1016,28.706106,31.810060
197,Steel_D1016,25.511181,28.711391
198,Steel_D1016,24.777692,28.000000
199,Steel_D1016,28.901947,32.000000
