,U_X_max_m,U_Y_max_m,M_max_Tm,V_max_T
M1,-28.537501501374347,-46.20860121827187,332.7493952112823,1282.032768780939
M2,-17.93413983152348,-35.56144296322106,132.24445556731496,361.58447165798674
M3,-30.73853450220634,-49.051711417289425,188.4692996859656,650.6600333298323
M6,-21.942651459725678,-39.931194941012215,148.10474668445394,433.88055631009513
