method,M_min,M_p25,M_median,M_mean,M_p75,M_p95,M_max,M_std,V_min,V_p25,V_median,V_mean,V_p75,V_p95,V_max,V_std
BASE,3.68074555157589,6.200069994811487,8.604729775589611,9.71044663546061,12.025663641619335,17.43659793211546,25.389987275638997,4.350890508159855,0.29619824159310265,0.46237771679151374,0.7144145395357779,0.7681859841875565,0.9658812044717919,1.489532552353754,2.025125032880714,0.3642767757301872
M1,4.28998911118853,6.500214124779157,9.1047913968293,14.514143013281211,17.1660620275134,40.1636694910774,109.87501637954931,13.690882071500077,0.34864441536995033,0.6320582844695246,1.0142540893009038,2.606237450877457,2.9276014760202944,11.396517427548101,27.987891563197234,3.919038732213091
M2,3.7609726697932135,6.093222183031779,8.707505718289147,12.81332231248229,15.41526827156062,35.58099219356408,58.96683771691833,9.924358122830045,0.27237193286420985,0.5019943908308814,0.8987397844769991,1.6766636193770335,1.9353971661888625,5.54060187453851,9.347662683436075,1.7314866657928298
M3,3.64167714303345,6.267452535350239,9.489991471508098,14.743742276558473,17.037157346028117,43.91849554701006,73.2423184843916,12.807990615828757,0.3043709594249381,0.5911564539000532,1.153767236669617,2.463353118005334,2.5058644723072647,9.184550160229625,15.201804246793149,2.9324288045030134
M6,3.787467223455406,6.137178524431393,8.972477496237683,13.390538552528627,15.857339953452076,38.529803868940355,62.99376361343922,10.727146303522881,0.2771470874216094,0.5312122781061528,0.9788969342063649,1.8838697204905226,2.100004784207982,6.413918953304646,10.811748791518554,2.0304719630461263
