frame,pile_type,orientation,P_X_max_T,P_Y_max_T
177,Steel_D1016,raked_6to1,0.635450665722294,27.00007935623762
178,Steel_D1016,raked_6to1,0.61484682428414,29.22217598765154
179,Steel_D1016,raked_6to1,0.53681174787327,30.467543735489393
18,BTCT_D800,vertical,1.00007844463748,0.211563080021145
180,Steel_D1016,raked_6to1,0.478234830168289,29.619637998560695
181,Steel_D1016,raked_6to1,0.718693283493452,0.5120607279749047
182,Steel_D1016,raked_6to1,0.771811999311024,26.30114283841114
183,Steel_D1016,raked_6to1,0.643305801600249,25.517853602553583
184,Steel_D1016,raked_6to1,0.648145057531214,25.249228208320226
185,Steel_D1016,raked_6to1,0.625544876495449,27.179280397847073
186,Steel_D1016,raked_6to1,0.559876206685817,28.41835370836058
187,Steel_D1016,raked_6to1,0.491615169954151,27.90914444724499
188,Steel_D1016,raked_6to1,0.435349547311671,29.532881681684685
189,,,0.739949431468505,
19,BTCT_D800,vertical,0.910299164529641,0.179348939414129
190,,,0.699463004871245,
191,,,0.681841841190099,
192,,,0.674819989875755,
193,,,0.651873826484157,
194,,,0.608812295199758,
195,Steel_D1016,raked_6to1,0.585633432791757,0.47205974036849946
196,Steel_D1016,raked_6to1,0.451388468731049,24.8112668173536
197,Steel_D1016,raked_6to1,0.383208528735294,29.642339184804403
198,Steel_D1016,raked_6to1,0.356544418717144,31.68498586590301
199,,,0.555558117791368,
2,BTCT_D800,vertical,0.773635606350869,0.241760217350672
20,BTCT_D800,vertical,0.756336906317524,0.201495888986612
21,BTCT_D800,vertical,0.698210912912688,0.160704046300568
22,BTCT_D800,vertical,0.622117363929369,0.173568113801794
23,BTCT_D800,vertical,0.539094836194093,0.186648830620972
24,BTCT_D800,vertical,0.456110132759083,0.213740324359353
25,BTCT_D800,vertical,0.374691712012416,0.265066776408723
26,BTCT_D800,vertical,0.289335801706383,0.285851811971714
27,BTCT_D800,vertical,0.196342831501924,0.326671941604535
28,BTCT_D800,vertical,0.172710532798934,0.401050152375905
29,BTCT_D800,vertical,0.210634059331667,0.349008528834159
3,BTCT_D800,vertical,0.623244586092518,0.274522491336621
30,BTCT_D800,vertical,0.259436573620631,0.434559793889865
31,BTCT_D800,raked_6to1,0.816196467346327,4.8078296494978305
32,BTCT_D800,raked_6to1,0.748866574178156,4.486550332161434
33,BTCT_D800,raked_6to1,0.173590583531264,4.3591659802812845
34,BTCT_D800,raked_6to1,0.192646978935867,5.432601552358404
35,BTCT_D800,vertical,0.664923575328191,0.31571198048663
36,BTCT_D800,vertical,0.593301098461454,0.292460264844799
37,BTCT_D800,vertical,1.21768841523176,0.272779156229527
38,BTCT_D800,vertical,1.10845949897778,0.271298631887038
39,BTCT_D800,vertical,0.453631857208993,0.312182574707695
4,BTCT_D800,vertical,0.549354464647176,0.232813643971702
40,BTCT_D800,vertical,0.875895424058774,0.119407127788399
41,BTCT_D800,vertical,0.74918705980967,0.13757962300259
42,BTCT_D800,vertical,0.635654469173545,0.17679926615181
43,BTCT_D800,vertical,0.526469167267573,0.159147814780469
44,BTCT_D800,vertical,0.374565664869138,0.278918054825041
45,BTCT_D800,vertical,0.41677009898347,0.194603515035406
46,BTCT_D800,vertical,0.305553378082039,0.259274314941265
47,BTCT_D800,vertical,0.199247677802585,0.28666448105332
48,BTCT_D800,vertical,0.320918360492316,0.2470082315576
49,BTCT_D800,vertical,0.143782590654262,0.336230996210332
5,BTCT_D800,vertical,0.474720254909237,0.192481085374349
50,BTCT_D800,vertical,0.182313461395344,0.418048100007089
51,BTCT_D800,vertical,0.356477416511595,0.374031234645059
52,BTCT_D800,vertical,0.299004451949944,0.238971218017723
53,BTCT_D800,vertical,0.481196401374561,0.481161418931302
54,BTCT_D800,raked_6to1,1.05722782431799,3.7483395691752643
55,BTCT_D800,raked_6to1,0.980984301311695,3.791223660861747
56,BTCT_D800,vertical,0.275892677348282,0.225021518506535
57,BTCT_D800,raked_6to1,0.196990059831446,3.554446348256159
58,BTCT_D800,raked_6to1,0.287550310380398,4.882248676016109
59,BTCT_D800,vertical,1.82472718402145,0.782981733997354
6,BTCT_D800,vertical,0.400037362510665,0.197335445711841
60,BTCT_D800,vertical,0.252953999675324,0.260107871540968
61,BTCT_D800,vertical,1.59005000671036,0.599048833993544
62,BTCT_D800,vertical,1.3628803209282,0.426597767153332
63,BTCT_D800,vertical,1.65158851366583,0.77515646942472
64,BTCT_D800,vertical,0.228918075313005,0.277979305239106
65,BTCT_D800,vertical,1.43641660078682,0.608856784927649
66,BTCT_D800,vertical,1.23544643829308,0.435379884632487
67,BTCT_D800,vertical,1.47837236873774,0.756053600028807
68,BTCT_D800,vertical,0.203471812319742,0.31337500065711
69,BTCT_D800,vertical,1.35763353706428,0.674312707098781
7,BTCT_D800,vertical,0.325065881968107,0.221240254018375
70,BTCT_D800,vertical,1.16807807356217,0.420019234554862
71,BTCT_D800,vertical,0.988999103008926,0.240957422837636
72,BTCT_D800,vertical,0.16341640713096,0.369635403838371
73,BTCT_D800,vertical,1.23539042422509,0.69417704659133
74,BTCT_D800,vertical,1.05126158579753,0.457997659020426
75,BTCT_D800,vertical,0.868637831778367,0.271551105940301
76,BTCT_D800,vertical,1.09914979566999,0.732545452074673
77,BTCT_D800,vertical,0.924949430790819,0.510810724608542
78,BTCT_D800,vertical,0.75062593332504,0.324370154657272
79,BTCT_D800,vertical,0.955723037638927,0.706307524140779
8,BTCT_D800,vertical,0.250038659906129,0.267406833231713
80,BTCT_D800,vertical,0.794205935750194,0.486114984514544
81,BTCT_D800,vertical,0.633371530195728,0.302396260702718
82,BTCT_D800,vertical,0.283337122476716,0.331203561675308
83,BTCT_D800,vertical,0.810259204003806,0.703942605109036
84,BTCT_D800,vertical,0.662505700078478,0.485598790279689
85,BTCT_D800,vertical,0.515838580978253,0.302616247757092
86,BTCT_D800,vertical,0.362414565280535,0.391432817864789
87,BTCT_D800,vertical,0.664307551183082,0.736695167339134
88,BTCT_D800,vertical,0.526458259153938,0.352129031824967
89,BTCT_D800,vertical,0.530996068304515,0.523260325953723
9,BTCT_D800,vertical,0.174771932508861,0.28589338141591
90,BTCT_D800,vertical,0.471248204380236,0.342861434373663
91,BTCT_D800,vertical,0.398529183899546,0.338516887488185
92,BTCT_D800,vertical,0.419232552310657,0.34454851655724
93,BTCT_D800,vertical,0.516475963487068,0.771968080006718
94,BTCT_D800,vertical,0.390205665635147,0.334842665643126
95,BTCT_D800,vertical,0.399043011738407,0.557884168241036
96,BTCT_D800,vertical,0.399446293655295,0.312438708608145
97,BTCT_D800,vertical,0.282955475608717,0.373145295765326
98,BTCT_D800,vertical,0.399241155094955,0.295752505022693
99,BTCT_D800,vertical,0.361693123559058,0.832120177542513
