frame,l0_m,l_tt_M1,l_tt_M2_NEW,l_tt_M6,fem_length_m
1,9.32,11.537859906359028,14.899063303518338,14.553109948878202,25.7482142857143
2,9.32,11.520480618789724,14.899063303518338,14.553109948878202,25.7482142857143
3,9.32,11.538430078383234,14.899063303518338,14.553109948878202,25.7482142857143
4,9.32,11.515567008340067,14.899063303518338,14.553109948878202,25.7482142857143
5,9.32,11.493351184606553,14.899063303518338,14.553109948878202,25.7482142857143
6,9.32,11.496030646996187,14.899063303518338,14.553109948878202,25.7482142857143
7,9.32,11.509203011460166,14.899063303518338,14.553109948878202,25.7482142857143
8,9.32,11.534537507723105,14.899063303518338,14.553109948878202,25.7482142857143
9,9.32,11.544643683731476,14.899063303518338,14.553109948878202,25.7482142857143
10,9.32,11.5697332318885,14.899063303518338,14.553109948878202,25.7482142857143
11,9.32,11.609789114619325,14.899063303518338,14.553109948878202,25.7482142857143
12,9.32,11.56951240024081,14.899063303518338,14.553109948878202,25.7482142857143
13,9.32,11.611070315398058,14.899063303518338,14.553109948878202,25.7482142857143
14,9.56373779358672,14.010964831404236,15.142801097105057,14.79684774246492,25.7514269447658
15,9.080956269516705,13.299344784767024,14.660019573035042,14.314066218394906,25.7514269447658
16,9.080956269516705,13.35691620642248,14.660019573035042,14.314066218394906,25.7514269447658
17,9.56373779358672,14.102621484806486,15.142801097105057,14.79684774246492,25.7514269447658
18,11.33,13.513875035588736,16.909063303518337,16.5631099488782,24.7464285714286
19,11.33,13.496094924674455,16.909063303518337,16.5631099488782,24.7464285714286
20,11.33,13.508325865658955,16.909063303518337,16.5631099488782,24.7464285714286
21,11.33,13.485773188258586,16.909063303518337,16.5631099488782,24.7464285714286
22,11.33,13.49289711693704,16.909063303518337,16.5631099488782,24.7464285714286
23,11.33,13.50012992094407,16.909063303518337,16.5631099488782,24.7464285714286
24,11.33,13.515074294678886,16.909063303518337,16.5631099488782,24.7464285714286
25,11.33,13.543256683708943,16.909063303518337,16.5631099488782,24.7464285714286
26,11.33,13.55462098330218,16.909063303518337,16.5631099488782,24.7464285714286
27,11.33,13.576858906939531,16.909063303518337,16.5631099488782,24.7464285714286
28,11.33,13.617105911192914,16.909063303518337,16.5631099488782,24.7464285714286
29,11.33,13.588982374300024,16.909063303518337,16.5631099488782,24.7464285714286
30,11.33,13.635124358507358,16.909063303518337,16.5631099488782,24.7464285714286
31,11.592994309061725,15.781860321760382,17.172057612580062,16.826104257939924,24.7434110327731
32,11.07204952053814,15.1470481011179,16.651112824056476,16.305159469416342,24.7434110327731
33,11.072049520538144,15.10106127571363,16.651112824056483,16.305159469416346,24.7434110327732
34,11.592994309061726,15.995100292291612,17.172057612580062,16.826104257939928,24.7434110327731
35,7.31,9.550898621710765,12.889063303518338,12.5431099488782,26.75
36,7.31,9.538228364300169,12.889063303518338,12.5431099488782,26.75
37,15.09875,17.31622670060145,20.677813303518338,20.331859948878204,22.7
38,15.09875,17.31541689258648,20.677813303518338,20.331859948878204,22.7
39,7.31,9.548977614912156,12.889063303518338,12.5431099488782,26.75
40,15.09875,17.23158013524083,20.677813303518338,20.331859948878204,22.7
41,15.09875,17.241689930963844,20.677813303518338,20.331859948878204,22.7
42,15.09875,17.2634347787433,20.677813303518338,20.331859948878204,22.7
43,15.09875,17.25366063524455,20.677813303518338,20.331859948878204,22.7
44,7.31,9.530833012627632,12.889063303518338,12.5431099488782,26.75
45,15.09875,17.2732728916114,20.677813303518338,20.331859948878204,22.7
46,15.09875,17.30883467700369,20.677813303518338,20.331859948878204,22.7
47,15.09875,17.323814749176954,20.677813303518338,20.331859948878204,22.7
48,7.31,9.513360507600693,12.889063303518338,12.5431099488782,26.75
49,15.09875,17.350801092481213,20.677813303518338,20.331859948878204,22.7
50,15.09875,17.395004673288604,20.677813303518338,20.331859948878204,22.7
51,15.09875,17.37127613729822,20.677813303518338,20.331859948878204,22.7
52,7.31,9.508949408696669,12.889063303518338,12.5431099488782,26.75
53,15.09875,17.428815775987633,20.677813303518338,20.331859948878204,22.7
54,15.397655045469742,19.19912322767393,20.97671834898808,20.630764994347945,22.6958796918043
55,14.805542218338788,18.62338053164551,20.384605521857125,20.038652167216988,22.6958796918042
56,7.31,9.501283215573556,12.889063303518338,12.5431099488782,26.75
57,14.80554221833878,18.53221557730301,20.384605521857118,20.03865216721698,22.6958796918042
58,15.397655045469747,19.61247633727974,20.976718348988086,20.63076499434795,22.6958796918042
59,20.375,22.86338802408634,25.95406330351834,25.6081099488782,20.23
60,7.31,9.52054127373846,12.889063303518338,12.5431099488782,26.75
61,18.61625,21.00881056909149,24.19531330351834,23.8493599488782,21.0
62,16.8575,19.158349481868783,22.43656330351834,22.090609948878203,21.9
63,20.375,22.859352075917645,25.95406330351834,25.6081099488782,20.23
64,7.31,9.530319928260232,12.889063303518338,12.5431099488782,26.75
65,18.61625,21.01397169319226,24.19531330351834,23.8493599488782,21.0
66,16.8575,19.163064446445524,22.43656330351834,22.090609948878203,21.9
67,20.375,22.84948446873361,25.95406330351834,25.6081099488782,20.23
68,7.31,9.549626724919449,12.889063303518338,12.5431099488782,26.75
69,20.375,22.807016931327773,25.95406330351834,25.6081099488782,20.23
70,18.61625,20.913564417757023,24.19531330351834,23.8493599488782,21.0
71,16.8575,19.05753992194989,22.43656330351834,22.090609948878203,21.9
72,7.31,9.580149726611454,12.889063303518338,12.5431099488782,26.75
73,20.375,22.817373814388088,25.95406330351834,25.6081099488782,20.23
74,18.61625,20.933935334019047,24.19531330351834,23.8493599488782,21.0
75,16.8575,19.07430499925464,22.43656330351834,22.090609948878203,21.9
76,20.375,22.83731174257883,25.95406330351834,25.6081099488782,20.23
77,18.61625,20.96211400971652,24.19531330351834,23.8493599488782,21.0
78,16.8575,19.10310777678145,22.43656330351834,22.090609948878203,21.9
79,20.375,22.82368682052877,25.95406330351834,25.6081099488782,20.23
80,18.61625,20.94895900474708,24.19531330351834,23.8493599488782,21.0
81,16.8575,19.091146893117312,22.43656330351834,22.090609948878203,21.9
82,7.31,9.559321069835674,12.889063303518338,12.5431099488782,26.75
83,20.375,22.82245674552763,25.95406330351834,25.6081099488782,20.23
84,18.61625,20.94868363389355,24.19531330351834,23.8493599488782,21.0
85,16.8575,19.091266790019844,22.43656330351834,22.090609948878203,21.9
86,7.31,9.591921545496753,12.889063303518338,12.5431099488782,26.75
87,20.375,22.83946287855647,25.95406330351834,25.6081099488782,20.23
88,4.629999999999999,6.890673541428886,10.209063303518336,9.8631099488782,28.2
89,18.61625,20.96873141925326,24.19531330351834,23.8493599488782,21.0
90,4.629999999999999,6.885649126165023,10.209063303518336,9.8631099488782,28.2
91,16.8575,19.110791856420903,22.43656330351834,22.090609948878203,21.9
92,4.629999999999999,6.886564181789682,10.209063303518336,9.8631099488782,28.2
93,20.375,22.857706604120736,25.95406330351834,25.6081099488782,20.23
94,4.629999999999999,6.881297355138454,10.209063303518336,9.8631099488782,28.2
95,18.61625,20.98708510748612,24.19531330351834,23.8493599488782,21.0
96,4.629999999999999,6.869117051844734,10.209063303518336,9.8631099488782,28.2
97,16.8575,19.129547292147087,22.43656330351834,22.090609948878203,21.9
98,4.629999999999999,6.860024466336549,10.209063303518336,9.8631099488782,28.2
99,20.375,22.88864962825105,25.95406330351834,25.6081099488782,20.23
100,4.629999999999999,6.852616212185372,10.209063303518336,9.8631099488782,28.2
101,18.61625,21.020602222337043,24.19531330351834,23.8493599488782,21.0
103,4.629999999999999,6.845036793209427,10.209063303518336,9.8631099488782,28.2
104,16.8575,19.161184362852456,22.43656330351834,22.090609948878203,21.9
105,4.629999999999999,6.846680917770638,10.209063303518336,9.8631099488782,28.2
106,20.375,22.9179078674392,25.95406330351834,25.6081099488782,20.23
107,4.629999999999999,6.850665511412954,10.209063303518336,9.8631099488782,28.2
108,18.61625,21.055593527806057,24.19531330351834,23.8493599488782,21.0
109,4.629999999999999,6.851708709633504,10.209063303518336,9.8631099488782,28.2
110,16.8575,19.19434442648783,22.43656330351834,22.090609948878203,21.9
111,4.629999999999999,6.860065587190172,10.209063303518336,9.8631099488782,28.2
112,20.375,22.93224122964252,25.95406330351834,25.6081099488782,20.23
113,4.629999999999999,6.869749454120005,10.209063303518336,9.8631099488782,28.2
114,20.375,22.94726434751873,25.95406330351834,25.6081099488782,20.23
115,4.629999999999999,6.877925856895877,10.209063303518336,9.8631099488782,28.2
116,18.61625,21.053351582955404,24.19531330351834,23.8493599488782,21.0
117,4.629999999999999,6.891176983016036,10.209063303518336,9.8631099488782,28.2
119,16.8575,19.18581165812471,22.43656330351834,22.090609948878203,21.9
120,20.375,22.97242553934285,25.95406330351834,25.6081099488782,20.23
121,18.61625,21.08298746124677,24.19531330351834,23.8493599488782,21.0
122,16.8575,19.213497699729285,22.43656330351834,22.090609948878203,21.9
123,17.17326560299093,21.048652870983176,22.75232890650927,22.40637555186913,21.9015080643976
125,18.948901096863004,22.90759592298349,24.527964400381343,24.18201104574121,20.9976397534656
126,18.2899247852176,22.46064358965854,23.86898808873594,23.5230347340958,20.9976397534656
127,16.547744941048855,20.50771093908458,22.126808244567194,21.780854889927056,21.9015080643976
128,18.289924785217565,22.01159891402499,23.868988088735904,23.523034734095766,20.9976397534657
129,16.547744941048855,20.25126914189297,22.126808244567194,21.780854889927056,21.9015080643976
132,17.17326560299093,21.4287855794522,22.75232890650927,22.40637555186913,21.9015080643976
135,18.948901096863032,23.29420383601552,24.52796440038137,24.18201104574124,20.9976397534657
136,7.5342939784541905,12.016911464831958,13.113357281972528,12.767403927332392,26.7516686071008
137,7.090042462887559,11.36952299718902,12.669105766405895,12.32315241176576,26.7516686071008
138,7.5342939784541905,12.0415533568989,13.113357281972528,12.767403927332392,26.7516686071008
139,7.090042462887551,11.218828737234094,12.669105766405888,12.323152411765752,26.7516686071008
140,5.299929671998553,7.662140934389441,11.680593814669074,11.297760058236182,28.6142431727492
141,5.608535491388417,14.805076044210557,11.989199634058938,11.606365877626049,28.7061058738932
142,5.608535491388417,14.448504357636576,11.989199634058938,11.606365877626049,28.7061058738932
143,5.608535491388417,14.282752165771456,11.989199634058938,11.606365877626049,28.7061058738932
144,5.608535491388417,14.189915284104512,11.989199634058938,11.606365877626049,28.7061058738932
145,5.608535491388417,13.984487178181258,11.989199634058938,11.606365877626049,28.7061058738932
146,5.608535491388417,13.766841634205894,11.989199634058938,11.606365877626049,28.7061058738932
147,12.644916316000272,21.09435459038764,19.02558045867079,18.6427467022379,25.5111806802956
148,12.644916316000272,20.99331619417437,19.02558045867079,18.6427467022379,25.5111806802956
149,12.644916316000272,20.75064152379161,19.02558045867079,18.6427467022379,25.5111806802956
150,12.644916316000272,21.06660619993297,19.02558045867079,18.6427467022379,25.5111806802956
151,12.644916316000272,21.37088470437656,19.02558045867079,18.6427467022379,25.5111806802956
152,12.644916316000272,21.468178881602743,19.02558045867079,18.6427467022379,25.5111806802956
153,12.644916316000272,21.41114102780957,19.02558045867079,18.6427467022379,25.5111806802956
154,13.34049363553306,15.52492648570448,19.72115777820358,19.33832402177069,24.8254891687743
155,14.115554765891227,23.914668261795168,20.496218908561747,20.113385152128856,24.7776916169128
156,14.115554765891227,23.545174247664487,20.496218908561747,20.113385152128856,24.7776916169128
