frame,pile_type,top_joint,bottom_joint,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,status,spring_K33_tm,orientation
45,BTCT_D800,205,109,35.7,-5.25,5.5,35.7,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
46,BTCT_D800,229,111,40.8,-5.25,5.5,40.8,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
47,BTCT_D800,251,116,45.9,-5.25,5.5,45.9,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
48,BTCT_D800,162,118,25.5,18.0,5.5,25.5,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
49,BTCT_D800,273,120,51.0,-5.25,5.5,51.0,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
50,BTCT_D800,297,122,56.1,-5.25,5.5,56.1,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
51,BTCT_D800,360,124,66.3,-5.25,5.5,66.3,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
52,BTCT_D800,186,126,30.6,18.0,5.5,30.6,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
53,BTCT_D800,385,128,71.4,-5.25,5.5,71.4,-5.25,-17.2,22.7,,treatment_spring,191081.0,vertical
54,BTCT_D800,93,130,10.2,-5.7,5.5,6.52565746832526,-6.34300994304307,-16.8872441394185,22.6958796918043,6.002,treatment_spring,191081.0,raked_6to1
55,BTCT_D800,61,132,10.2,-4.8,5.5,13.8743425316748,-4.15699005695693,-16.8872441394184,22.6958796918042,6.002,treatment_spring,191081.0,raked_6to1
56,BTCT_D800,211,134,35.7,18.0,5.5,35.7,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
57,BTCT_D800,322,136,61.2,-4.8,5.5,57.5256574683252,-4.1569900569569,-16.8872441394184,22.6958796918042,6.002,treatment_spring,191081.0,raked_6to1
58,BTCT_D800,346,138,61.2,-5.7,5.5,64.8743425316749,-6.34300994304309,-16.8872441394184,22.6958796918042,6.002,treatment_spring,191081.0,raked_6to1
59,BTCT_D800,4,140,8.881784197001249e-16,-21.0,5.5,9e-16,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
60,BTCT_D800,235,142,40.8,18.0,5.5,40.8,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
61,BTCT_D800,6,144,8.881784197001249e-16,-15.75,5.5,9e-16,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
62,BTCT_D800,8,149,8.881784197001249e-16,-10.5,5.5,9e-16,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
63,BTCT_D800,18,151,5.1,-21.0,5.5,5.1,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
64,BTCT_D800,257,153,45.9,18.0,5.5,45.9,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
65,BTCT_D800,26,155,5.1,-15.75,5.5,5.1,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
66,BTCT_D800,28,157,5.1,-10.5,5.5,5.1,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
67,BTCT_D800,55,159,10.2,-21.0,5.5,10.2,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
68,BTCT_D800,281,161,51.0,18.0,5.5,51.0,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
69,BTCT_D800,100,163,15.3,-21.0,5.5,15.3,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
70,BTCT_D800,102,165,15.3,-15.75,5.5,15.3,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
71,BTCT_D800,104,167,15.3,-10.5,5.5,15.3,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
72,BTCT_D800,304,171,56.1,18.0,5.5,56.1,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
73,BTCT_D800,125,173,20.4,-21.0,5.5,20.4,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
74,BTCT_D800,127,175,20.4,-15.75,5.5,20.4,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
75,BTCT_D800,129,177,20.4,-10.5,5.5,20.4,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
76,BTCT_D800,150,179,25.5,-21.0,5.5,25.5,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
77,BTCT_D800,152,181,25.5,-15.75,5.5,25.5,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
78,BTCT_D800,154,183,25.5,-10.5,5.5,25.5,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
79,BTCT_D800,174,185,30.6,-21.0,5.5,30.6,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
80,BTCT_D800,176,187,30.6,-15.75,5.5,30.6,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
81,BTCT_D800,178,192,30.6,-10.5,5.5,30.6,-10.5,-16.4,21.9,,treatment_spring,166015.0,vertical
82,BTCT_D800,366,194,66.3,18.0,5.5,66.3,18.0,-21.25,26.75,,treatment_spring,758640.0,vertical
83,BTCT_D800,199,196,35.7,-21.0,5.5,35.7,-21.0,-14.73,20.23,,treatment_spring,129825.0,vertical
84,BTCT_D800,201,198,35.7,-15.75,5.5,35.7,-15.75,-15.5,21.0,,treatment_spring,144666.0,vertical
