method,U_X_max_m,U_Y_max_m,M_max_Tm,M_mean_Tm,M_median_Tm,governing_pile_M,V_max_T,V_mean_T,V_median_T,governing_pile_V
BASE,0.0127137793489068,0.0221233805289556,25.389987275638997,9.71044663546061,8.604729775589611,154,2.025125032880714,0.7681859841875565,0.7144145395357779,154
M1,0.0090855843763311,0.0119004758443297,109.87501637954931,14.514143013281211,9.1047913968293,140,27.987891563197234,2.606237450877457,1.0142540893009038,140
M2,0.0104336723826025,0.0142559871806147,58.96683771691833,12.81332231248229,8.707505718289147,140,9.347662683436075,1.6766636193770335,0.8987397844769991,140
M3,0.0088057498972087,0.0112714837561435,73.2423184843916,14.743742276558473,9.489991471508098,140,15.201804246793149,2.463353118005334,1.153767236669617,140
M6,0.0099240390590176,0.0132892503223964,62.99376361343922,13.390538552528627,8.972477496237683,140,10.811748791518554,1.8838697204905226,0.9788969342063649,140
