,min,max,mean,median,std
l_tt_M1,6.845036793209427,23.914668261795168,16.3268155783004,17.291053784307543,5.303498697518701
l_tt_M2,10.687724207965148,26.432724207965148,18.64579106904734,19.57301544969804,4.918003611420799
l_tt_M3,8.170325659972919,23.91532565997292,16.03491941361981,16.69391661641267,4.940694942170733
l_tt_M6,9.8631099488782,25.6081099488782,17.793872841054963,18.6427467022379,4.9241133000648905
