method,U_X_max_m,U_Y_max_m,M_min,M_median,M_mean,M_p95,M_max,V_min,V_median,V_mean,V_p95,V_max
BASE,0.0127137793489068,0.0221233805289556,3.68074555157589,8.604729775589611,9.71044663546061,17.43659793211546,25.389987275639,0.2961982415931026,0.7144145395357779,0.7681859841875565,1.489532552353754,2.025125032880714
M1,0.0090855843763311,0.0119004758443297,4.28998911118853,9.1047913968293,14.514143013281211,40.1636694910774,109.87501637954932,0.3486444153699503,1.0142540893009038,2.606237450877457,11.3965174275481,27.987891563197238
M2,0.0104336723826025,0.0142559871806147,3.7609726697932135,8.707505718289147,12.81332231248229,35.58099219356408,58.96683771691833,0.2723719328642098,0.8987397844769991,1.6766636193770337,5.54060187453851,9.347662683436075
M3,0.0088057498972087,0.0112714837561435,3.64167714303345,9.489991471508098,14.743742276558471,43.91849554701006,73.2423184843916,0.3043709594249381,1.153767236669617,2.463353118005334,9.184550160229623,15.201804246793149
M6,0.0099240390590176,0.0132892503223964,3.787467223455406,8.972477496237683,13.390538552528628,38.52980386894036,62.99376361343922,0.2771470874216094,0.9788969342063648,1.8838697204905224,6.413918953304646,10.811748791518554
