frame,pile_type,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,orientation,spring_K33_tm,Y_s,Z_s,on_segment,H0_vertical_m,H0_along_axis_m,applicable_cases,D_m,t_m,E_Tm2,I_m4,b_equiv_m
25,BTCT_D800,40.8,6.0,5.5,40.8,6.0,-19.2464285714286,24.7464285714286,,vertical,298646.0,6.0,-5.83,True,11.33,11.33,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
26,BTCT_D800,45.9,6.0,5.5,45.9,6.0,-19.2464285714286,24.7464285714286,,vertical,298646.0,6.0,-5.83,True,11.33,11.33,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
27,BTCT_D800,51.0,6.0,5.5,51.0,6.0,-19.2464285714286,24.7464285714286,,vertical,298646.0,6.0,-5.83,True,11.33,11.33,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
28,BTCT_D800,56.1,6.0,5.5,56.1,6.0,-19.2464285714286,24.7464285714286,,vertical,298646.0,6.0,-5.83,True,11.33,11.33,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
29,BTCT_D800,66.3,6.0,5.5,66.3,6.0,-19.2464285714286,24.7464285714286,,vertical,298646.0,6.0,-5.83,True,11.33,11.33,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
30,BTCT_D800,71.4,6.0,5.5,71.4,6.0,-19.2464285714286,24.7464285714286,,vertical,298646.0,6.0,-5.83,True,11.33,11.33,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
31,BTCT_D800,10.2,5.55,5.5,6.19106606736212,4.84461573032765,-18.9062957306634,24.7434110327731,5.996,raked_6to1,298646.0,5.214942361009778,-6.092994309061725,True,11.592994309061725,11.597835171763014,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
32,BTCT_D800,10.2,6.45,5.5,14.208933932638,7.15538426967236,-18.9062957306634,24.7434110327731,5.996,raked_6to1,298646.0,6.77000143122943,-5.5720495205381395,True,11.07204952053814,11.076672853399515,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
33,BTCT_D800,61.2,6.45,5.5,57.191066067362,7.15538426967234,-18.9062957306635,24.7434110327732,5.996,raked_6to1,298646.0,6.770001431229419,-5.572049520538144,True,11.072049520538144,11.076672853399518,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
34,BTCT_D800,61.2,5.55,5.5,65.2089339326378,4.84461573032764,-18.9062957306635,24.7434110327731,5.996,raked_6to1,298646.0,5.214942361009775,-6.092994309061726,True,11.592994309061726,11.597835171763016,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
35,BTCT_D800,8.881784197001249e-16,18.0,5.5,-6.7e-15,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
36,BTCT_D800,5.1,18.0,5.5,5.09999999999999,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
37,BTCT_D800,8.881784197001249e-16,-5.25,5.5,9e-16,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
38,BTCT_D800,5.1,-5.25,5.5,5.1,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
39,BTCT_D800,15.3,18.0,5.5,15.3,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
40,BTCT_D800,15.3,-5.25,5.5,15.3,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
41,BTCT_D800,20.4,-5.25,5.5,20.4,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
42,BTCT_D800,25.5,-5.25,5.5,25.5,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
43,BTCT_D800,30.6,-5.25,5.5,30.6,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
44,BTCT_D800,20.4,18.0,5.5,20.4,18.0,-21.25,26.75,,vertical,758640.0,18.0,-1.8099999999999996,True,7.31,7.31,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
45,BTCT_D800,35.7,-5.25,5.5,35.7,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
46,BTCT_D800,40.8,-5.25,5.5,40.8,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
47,BTCT_D800,45.9,-5.25,5.5,45.9,-5.25,-17.2,22.7,,vertical,191081.0,-5.25,-9.598749999999999,True,15.098749999999999,15.098749999999999,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
