

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\OneDrive\Nature-Insp...ms\Multiobjectives\MOSFOA\MPJ_Sap\W01\MPJ_1.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
     634 TO     678    A   A   A   A   A   A
     679               -   -   A   -   -   -
     680               A   A   -   A   A   A
     681               A   A   A   A   A   A
     682               -   -   A   -   -   -
     683               A   A   -   A   A   A
     684               A   A   A   A   A   A
     685               -   -   A   -   -   -
     686               A   A   -   A   A   A
     687               A   A   A   A   A   A
     688               -   -   A   -   -   -
     689               A   A   -   A   A   A
     690               A   A   A   A   A   A
     691               -   -   A   -   -   -
     692               A   A   -   A   A   A
     693               A   A   A   A   A   A
     694               -   -   A   -   -   -
     695               A   A   -   A   A   A
     696               -   -   A   -   -   -
     697               A   A   -   A   A   A
     698               -   -   A   -   -   -
     699               A   A   -   A   A   A
     700               -   -   A   -   -   -
     701               A   A   -   A   A   A
     702               -   -   A   -   -   -
     703               A   A   -   A   A   A
     704               -   -   A   -   -   -
     705               A   A   -   A   A   A
     706               -   -   A   -   -   -
     707               A   A   -   A   A   A
     708               -   -   A   -   -   -
     709               A   A   -   A   A   A
     710               -   -   A   -   -   -
     711               A   A   -   A   A   A
     712               -   -   A   -   -   -
     713               A   A   -   A   A   A
     714               -   -   A   -   -   -
     715               A   A   -   A   A   A
     716               -   -   A   -   -   -
     717               A   A   -   A   A   A
     718               -   -   A   -   -   -
     719               A   A   -   A   A   A
     720               -   -   A   -   -   -
     721               A   A   -   A   A   A
     722               -   -   A   -   -   -
     723               A   A   -   A   A   A
     724               -   -   A   -   -   -
     725               A   A   -   A   A   A
     726               -   -   A   -   -   -
     727               A   A   -   A   A   A
     728               -   -   A   -   -   -
     729               A   A   -   A   A   A
     730               -   -   A   -   -   -
     731               A   A   -   A   A   A
     732 TO    ~304    A   A   A   A   A   A
