frame,station,load_case,step_type,P,V2,V3,T,M2,M3
1,0.0,BAO KT,Max,-96.14015271049642,0.2762458381690254,1.210659513433089,0.6037523646036008,6.651829382692172,1.0467024216144774
1,5.768929953179514,BAO KT,Max,-96.14015271049642,0.2762458381690254,1.210659513433089,0.6037523646036008,0.07815678370929943,0.05047489076731884
1,11.537859906359028,BAO KT,Max,-96.14015271049642,0.2762458381690254,1.210659513433089,0.6037523646036008,21.03100704182522,9.848395616827341
1,0.0,BAO KT,Min,-211.0955081947349,-1.7273996203155189,-3.6320167566894916,-0.16401143434902782,-20.87469347440662,-10.082099204670891
1,5.768929953179514,BAO KT,Min,-211.0955081947349,-1.7273996203155189,-3.6320167566894916,-0.16401143434902782,-0.35617109596306545,-0.5560098954043903
1,11.537859906359028,BAO KT,Min,-211.0955081947349,-1.7273996203155189,-3.6320167566894916,-0.16401143434902782,-7.316590477599598,-2.140583358894466
2,0.0,BAO KT,Max,-89.81511607740629,0.2831979900631551,1.1395788854759388,0.6087955852749257,6.261650058368026,1.0490947959210704
2,5.760240309394862,BAO KT,Max,-89.81511607740629,0.2831979900631551,1.1395788854759388,0.6087955852749257,0.09139790663661568,-0.16247866809599024
2,11.520480618789724,BAO KT,Max,-89.81511607740629,0.2831979900631551,1.1395788854759388,0.6087955852749257,19.049733198278595,8.060037580624394
2,0.0,BAO KT,Min,-198.26922177224446,-1.4333237139388129,-3.2930808517812427,-0.16438449185396034,-18.888140930774767,-8.452540486259405
2,5.760240309394862,BAO KT,Min,-198.26922177224446,-1.4333237139388129,-3.2930808517812427,-0.16438449185396034,-0.33524850685341184,-0.5821936819803208
2,11.520480618789724,BAO KT,Min,-198.26922177224446,-1.4333237139388129,-3.2930808517812427,-0.16438449185396034,-6.866846405339521,-2.2134821598817123
3,0.0,BAO KT,Max,-92.53944561051756,-0.10675769065527413,1.027762423427753,0.6052077813267024,5.618483863866031,-0.404601209817115
3,5.769215039191617,BAO KT,Max,-92.53944561051756,-0.10675769065527413,1.027762423427753,0.6052077813267024,0.08974132999840853,0.6576572337466069
3,11.538430078383234,BAO KT,Max,-92.53944561051756,-0.10675769065527413,1.027762423427753,0.6052077813267024,14.883190601832732,6.615431800053131
3,0.0,BAO KT,Min,-204.4944173984546,-1.111204100019798,-2.568575102785647,-0.1569939158885736,-14.754133622735488,-6.206119010838079
3,5.769215039191617,BAO KT,Min,-204.4944173984546,-1.111204100019798,-2.568575102785647,-0.1569939158885736,-0.3639760886067187,0.2046563946075264
3,11.538430078383234,BAO KT,Min,-204.4944173984546,-1.111204100019798,-2.568575102785647,-0.1569939158885736,-6.240280996044799,0.8272149391384327
4,0.0,BAO KT,Max,-103.64495352243931,-0.024412037246853372,0.9983505992502426,0.606844062988654,5.402518608953352,-0.08911067232229827
4,5.757783504170034,BAO KT,Max,-103.64495352243931,-0.024412037246853372,0.9983505992502426,0.606844062988654,0.07438084139014917,0.19238458842663278
