frame,station,load_case,step_type,P,V2,V3,T,M2,M3
1,0.0,BAO KT,Max,-90.81427145861251,1.498151498250853,3.127653255255357,0.1646396576869479,3.680622302622329,1.8529473861618204
1,1.8519794833411192,BAO KT,Max,-90.81427145861251,1.498151498250853,3.127653255255357,0.1646396576869479,-1.006321273072627,0.2452421263359427
1,3.7039589666822383,BAO KT,Max,-90.81427145861251,1.498151498250853,3.127653255255357,0.1646396576869479,15.040763300095458,70.38567614971024
1,0.0,BAO KT,Min,-214.82065850155806,-38.193318450972335,-8.90790873855297,-0.5172804914680311,-17.953765146454884,-71.18539789226159
1,1.8519794833411192,BAO KT,Min,-214.82065850155806,-38.193318450972335,-8.90790873855297,-0.5172804914680311,-2.3346684587617457,-1.4569315101333573
1,3.7039589666822383,BAO KT,Min,-214.82065850155806,-38.193318450972335,-8.90790873855297,-0.5172804914680311,-7.904077016853641,-3.696144289232856
2,0.0,BAO KT,Max,-82.98972365716386,1.6967069585786323,3.1106404245585493,0.1795213674350989,3.753765187822923,2.061352422679871
2,1.8519794833411192,BAO KT,Max,-82.98972365716386,1.6967069585786323,3.1106404245585493,0.1795213674350989,-0.9006092389023038,-0.37308078032992736
2,3.7039589666822383,BAO KT,Max,-82.98972365716386,1.6967069585786323,3.1106404245585493,0.1795213674350989,16.285589913113625,58.28720480283102
2,0.0,BAO KT,Min,-196.54271328065232,-31.798190987194733,-9.418393933553453,-0.4043778226829239,-18.599754748817283,-59.49198982846325
2,1.8519794833411192,BAO KT,Min,-196.54271328065232,-31.798190987194733,-9.418393933553453,-0.4043778226829239,-2.126395950002774,-1.3315958994784465
2,3.7039589666822383,BAO KT,Min,-196.54271328065232,-31.798190987194733,-9.418393933553453,-0.4043778226829239,-7.767919304844961,-4.2231805303796035
3,0.0,BAO KT,Max,-84.83656230317226,-0.34464053505714476,3.4269635758861994,0.15596552670050942,4.293183907226,-0.1690657614800215
3,1.8519794833411192,BAO KT,Max,-84.83656230317226,-0.34464053505714476,3.4269635758861994,0.15596552670050942,-0.9243052961935805,1.5545731186506926
3,3.7039589666822383,BAO KT,Max,-84.83656230317226,-0.34464053505714476,3.4269635758861994,0.15596552670050942,16.264987744817883,43.42493980412852
3,0.0,BAO KT,Min,-199.60661374819176,-22.66420700574622,-9.366044551316655,-0.28031108404924804,-18.426456953376768,-40.5223529575476
3,1.8519794833411192,BAO KT,Min,-199.60661374819176,-22.66420700574622,-9.366044551316655,-0.28031108404924804,-2.1752089193910953,0.3649259159366425
3,3.7039589666822383,BAO KT,Min,-199.60661374819176,-22.66420700574622,-9.366044551316655,-0.28031108404924804,-8.400148558171114,1.1074686386270542
4,0.0,BAO KT,Max,-99.0092292137634,0.22340005640305538,3.848689295753948,0.15854845614573554,4.835526297591188,0.4508630522958591
4,1.8519794833411192,BAO KT,Max,-99.0092292137634,0.22340005640305538,3.848689295753948,0.15854845614573554,-1.0737124230830724,0.2311202330389901
4,3.7039589666822383,BAO KT,Max,-99.0092292137634,0.22340005640305538,3.848689295753948,0.15854845614573554,15.397555472777006,29.11188160319553
4,0.0,BAO KT,Min,-229.29457335232757,-15.70553608985189,-8.95472244433654,-0.21423577942719738,-17.770369019074007,-29.060779623362883
4,1.8519794833411192,BAO KT,Min,-229.29457335232757,-15.70553608985189,-8.95472244433654,-0.21423577942719738,-2.336492784810731,-0.04981403350925216
4,3.7039589666822383,BAO KT,Min,-229.29457335232757,-15.70553608985189,-8.95472244433654,-0.21423577942719738,-9.419860929390596,-0.3766015897755557
5,0.0,BAO KT,Max,-100.54580594013142,1.2521725153402141,4.044154651071538,0.14907297882270426,5.121438134612015,1.551559182997487
5,1.8519794833411192,BAO KT,Max,-100.54580594013142,1.2521725153402141,4.044154651071538,0.14907297882270426,-1.1117282832049133,-0.005632980982060856
5,3.7039589666822383,BAO KT,Max,-100.54580594013142,1.2521725153402141,4.044154651071538,0.14907297882270426,14.642736861538712,18.909102368974615
5,0.0,BAO KT,Min,-231.68296088331783,-10.247548811341733,-8.56004262092626,-0.15791767443983135,-17.06330975942324,-19.04739793730851
5,1.8519794833411192,BAO KT,Min,-231.68296088331783,-10.247548811341733,-8.56004262092626,-0.15791767443983135,-2.396401440219055,-0.8356722736426158
5,3.7039589666822383,BAO KT,Min,-231.68296088331783,-10.247548811341733,-8.56004262092626,-0.15791767443983135,-9.857944747874084,-3.086436433029951
6,0.0,BAO KT,Max,-99.62345413576625,0.2809687554420416,4.086405321465134,0.13810944196423655,5.235899204192208,0.5064829701143485
6,1.8519794833411192,BAO KT,Max,-99.62345413576625,0.2809687554420416,4.086405321465134,0.13810944196423655,-1.1052031566412583,0.7439081026669672
