joint,load_case,step_type,U1,U2,U3,R1,R2,R3
4,BAO KT,Max,0.004878325365515953,0.001200396303551945,-0.0024810275775701187,0.00020854194852978555,3.973242102913378e-05,0.0001518211670036449
4,BAO KT,Min,-0.0039998206263239045,-0.011271483756143504,-0.005277890599456603,-4.84965314944914e-06,-0.00012646498610104106,-4.023602578529537e-05
6,BAO KT,Max,0.004082111204032593,0.0012003637838574883,-0.0024308832912212966,0.00022745834483259457,-7.640152464142807e-06,0.00015139397070653272
6,BAO KT,Min,-0.003809466801022561,-0.010657801197435209,-0.005189765482116278,1.4248993526609953e-05,-0.00016452684801661279,-4.0046434467416595e-05
8,BAO KT,Max,0.0032904522925798,0.0012001734771465923,-0.002230794152111084,0.000169908361321806,-2.762279810987431e-05,0.0001507827537177583
8,BAO KT,Min,-0.003672554271896747,-0.010045599483536853,-0.004708492213051514,7.706143122026424e-07,-0.0001681821371536837,-3.985830011356337e-05
10,BAO KT,Max,0.002502694346826603,0.0011996057832956725,-0.0018058771161856614,0.0002495872928344174,-6.628798862220486e-06,0.00015054139512000163
10,BAO KT,Min,-0.003536332764283976,-0.009436074179122473,-0.00388177700781324,-2.862437941124006e-05,-0.00013364779224639653,-3.9896457357034676e-05
12,BAO KT,Max,0.0008176767011539092,0.0023758826507410884,-0.001521159522760806,0.00010223876237434309,-1.7329502585340474e-06,0.0001510329627097957
12,BAO KT,Min,-0.0033604771394714628,-0.008146726038081354,-0.0032826213205421647,-0.00011083080235280501,-0.00012248378899696683,-4.145543608203184e-05
14,BAO KT,Max,-1.674052078329687e-05,0.003020096054100354,-0.0014737411717503427,6.259724440841146e-05,-1.5281344796907444e-05,0.0001526436938098166
14,BAO KT,Min,-0.004220980885937128,-0.007673371773927845,-0.0032290909121355706,-2.4082170045519557e-05,-0.00013610329683205912,-4.320427946138225e-05
16,BAO KT,Max,-9.091909748787854e-05,0.003666796962273154,-0.0011425377968968704,0.0002009103988243604,7.566073824972069e-06,0.0001567427130238403
16,BAO KT,Min,-0.005091909295629134,-0.007711874314446242,-0.0026157930946298525,-2.823179597972783e-05,-0.00011945587948521507,-4.669972769060556e-05
18,BAO KT,Max,0.004878168530121379,0.0012750873173277607,-0.0024797664071752328,0.00026091177187182493,1.0879707276126835e-05,0.00015222926209625874
18,BAO KT,Min,-0.003403061566319619,-0.010532322343349696,-0.0053056511413563144,3.568492875296232e-05,-0.0001099999504183556,-4.039285808907485e-05
26,BAO KT,Max,0.004081629938880657,0.0012750537193144062,-0.0022671651681943805,0.0002689185172718048,-4.0501114380818054e-05,0.0001517979237348185
26,BAO KT,Min,-0.0032126122575260566,-0.009918649855162179,-0.004861981534939751,3.7933899265797506e-05,-0.0001737661458118577,-4.023014034466257e-05
28,BAO KT,Max,0.003290138787661896,0.0012750833471003712,-0.0020211479163117223,0.00016036347985047978,-5.420449978355367e-05,0.00015144168620978056
28,BAO KT,Min,-0.003075866616750551,-0.009305953261624663,-0.004271659607193871,2.0525415527602534e-06,-0.00018037806591202527,-4.013821841061883e-05
30,BAO KT,Max,0.002502560012188827,0.0012752329788742734,-0.0016853063121722049,0.00021504529625289296,-3.511744591719299e-05,0.0001513883366827073
30,BAO KT,Min,-0.0029398007342460643,-0.008694348023513843,-0.003567072288413693,-5.2665614645923464e-05,-0.00014016022533960127,-4.025121464719604e-05
32,BAO KT,Max,0.0008185281630544273,0.0022350341035594625,-0.0014116629996356292,0.00011921513114271504,-3.537200520449363e-05,0.00015233610333918146
32,BAO KT,Min,-0.002763038060940409,-0.007395653343304438,-0.003037553314742133,-8.602970955981826e-05,-0.00012679384729924307,-4.173448300871491e-05
34,BAO KT,Max,-1.6896048789084774e-05,0.0028698165310929976,-0.0013189997517395913,6.0516482057149374e-05,-4.670224050577631e-05,0.00015397188795678444
34,BAO KT,Min,-0.0036239981230195496,-0.006887106807523234,-0.002900904804458729,-2.768193068125889e-05,-0.000146000986716468,-4.329644872243689e-05
36,BAO KT,Max,-9.12125741265537e-05,0.003502343368738208,-0.0010942006709607833,0.00018475569231900222,-2.7099932738489333e-05,0.00015759722039579698
36,BAO KT,Min,-0.00449650985851895,-0.006894564742165346,-0.002430584972343235,-5.497604189277139e-05,-0.00011945967072073562,-4.5970091181409396e-05
38,BAO KT,Max,-0.00016635686466901376,0.004341891957743631,-0.0005218408412188432,0.0003328231129603743,7.820046823186626e-05,0.00017100478716519432
38,BAO KT,Min,-0.0060806684466140435,-0.007872081849847388,-0.0015959446246746295,8.682086206887158e-05,-7.895134942908732e-05,-5.980697475998409e-05
40,BAO KT,Max,-0.00016638197360283621,0.004285757429405973,-0.00057242756065126,0.00032367756542610294,7.898350236833168e-05,0.00017514738255629844
40,BAO KT,Min,-0.005927933923937212,-0.0076505329355744224,-0.0016857396425202565,8.898300703411922e-05,-7.991756382204672e-05,-5.788750769583846e-05
42,BAO KT,Max,-0.0001661562225549385,0.004153536791751666,-0.0005110137492706482,0.00032087278572916455,2.5273302728432095e-05,0.00016655919487503613
42,BAO KT,Min,-0.0054782185792437675,-0.006993312999413672,-0.0017803237222448504,6.847493564097836e-05,-5.6808803122516606e-05,-4.81083181299752e-05
44,BAO KT,Max,-0.00016628357827794783,0.004110482539704805,-0.0004890178387503181,0.00030965704801423546,2.080116665087086e-05,0.00016060663241024325
44,BAO KT,Min,-0.005324848295869543,-0.006787868164055747,-0.0017730209989247614,6.774890643588728e-05,-4.918853950210394e-05,-4.658243141577341e-05
46,BAO KT,Max,0.0017158523753392693,0.0017505130696281726,-0.001404163591690287,6.477458010984547e-05,1.9894701867321945e-05,0.00015040849363110836
46,BAO KT,Min,-0.003475041851739735,-0.008924121258646207,-0.00326085800051053,1.9418570571425145e-06,-8.76791371240519e-05,-4.105155781421035e-05
49,BAO KT,Max,0.0017159655322054718,0.0017130284213375496,-0.0013991419500327278,6.328945811677959e-05,1.8795439321528482e-05,0.00015236749667839434
49,BAO KT,Min,-0.003323074896067631,-0.008736181007968987,-0.0032791014492534343,1.9636521897129625e-06,-8.974706833203699e-05,-4.113742624588929e-05
51,BAO KT,Max,0.0017168840197688015,0.0016199470486881517,-0.0013815483063087663,5.587468423584882e-05,-2.1843843242030957e-06,0.00015214490894095657
51,BAO KT,Min,-0.00287859544540031,-0.008176603132780283,-0.0032305179757785864,1.3787366690392726e-06,-8.00292998433561e-05,-4.128467000202292e-05
53,BAO KT,Max,0.0017166992429292092,0.0015797431269402363,-0.00136858945646303,5.4662924738628085e-05,-3.3476876932181862e-06,0.000152453888051972
53,BAO KT,Min,-0.00272673513773464,-0.007989145832602825,-0.003164363186776245,1.853932187583954e-06,-8.170377130883717e-05,-4.166793418732574e-05
55,BAO KT,Max,0.004877009414577616,0.0013500805114688384,-0.002466874609491868,0.00031438457885337936,1.9884742629473854e-05,0.00015252205817460027
55,BAO KT,Min,-0.002806024562479843,-0.009790159894209626,-0.005318230969452392,6.710040098600963e-05,-7.390686278448342e-05,-4.0588446801228785e-05
57,BAO KT,Max,0.004008295113549243,0.0013499935096722452,-0.0020422020898123103,0.00028956731131969486,2.1510759460157644e-05,0.0001533043312872342
57,BAO KT,Min,-0.0026048613959774834,-0.009123367009748105,-0.004423085064703746,5.6296916375106294e-05,-8.266767190377379e-05,-3.915220616429151e-05
59,BAO KT,Max,0.0032177214263615105,0.0013500514776270955,-0.0017639729438271407,0.0001489926514787537,1.787074430436653e-05,0.00015260089599038832
59,BAO KT,Min,-0.0024683758848139167,-0.008509654492258722,-0.003752619500184663,2.176129606174711e-06,-7.907804039030384e-05,-3.909112969525564e-05
61,BAO KT,Max,0.002430769271300555,0.0013501709736994769,-0.00151042973249684,0.00016177176400227776,1.3210909780370486e-05,0.00015230698785218889
61,BAO KT,Min,-0.0023324620574035958,-0.00789643861165118,-0.003166882465228974,-5.6926194763660044e-05,-6.688207165185542e-05,-3.9159812574047114e-05
63,BAO KT,Max,0.0007472168749374053,0.0021431370372483748,-0.0012364742386680714,0.00010796786603903224,9.58459618238235e-06,0.0001532789012872697
