frame,station,load_case,step_type,P,V2,V3,T,M2,M3
1,0.0,BAO KT,Max,-94.47202085845171,0.1901931915899961,0.8936718313313287,0.6221136083785442,6.676383748964215,0.9309871054925395
1,7.688862103982574,BAO KT,Max,-94.47202085845171,0.1901931915899961,0.8936718313313287,0.6221136083785442,0.1115355901285688,-0.0734027952432061
1,15.377724207965148,BAO KT,Max,-94.47202085845171,0.1901931915899961,0.8936718313313287,0.6221136083785442,15.921189913176846,5.9902986353419045
1,0.0,BAO KT,Min,-209.43184183561493,-0.7989504890175245,-2.0561760777136846,-0.18185717929202713,-15.698118732919708,-6.295741640588476
1,7.688862103982574,BAO KT,Min,-209.43184183561493,-0.7989504890175245,-2.0561760777136846,-0.18185717929202713,-0.22151424656368185,-0.5778717778988041
1,15.377724207965148,BAO KT,Min,-209.43184183561493,-0.7989504890175245,-2.0561760777136846,-0.18185717929202713,-7.0662552056761045,-1.9937513410110967
2,0.0,BAO KT,Max,-85.35725345813306,0.20409227032608462,0.8456739291574293,0.6259832807437934,6.323865700759747,0.981725057313094
2,7.688862103982574,BAO KT,Max,-85.35725345813306,0.20409227032608462,0.8456739291574293,0.6259832807437934,0.12929977193036146,-0.18117738219116833
2,15.377724207965148,BAO KT,Max,-85.35725345813306,0.20409227032608462,0.8456739291574293,0.6259832807437934,14.310391974461933,4.87190796765151
2,0.0,BAO KT,Min,-187.57993685850786,-0.6621074574550827,-1.8471000064705085,-0.18223130722024092,-14.093802509572187,-5.30979790912977
2,7.688862103982574,BAO KT,Min,-187.57993685850786,-0.6621074574550827,-1.8471000064705085,-0.18223130722024092,-0.22000303566168147,-0.6121018068543489
2,15.377724207965148,BAO KT,Min,-187.57993685850786,-0.6621074574550827,-1.8471000064705085,-0.18223130722024092,-6.680674751689459,-2.1567495887389048
3,0.0,BAO KT,Max,-88.32280509724467,-0.08732277813421824,0.7668686319506985,0.6222750425914043,5.717834605135092,-0.44082828407838726
3,7.688862103982574,BAO KT,Max,-88.32280509724467,-0.08732277813421824,0.7668686319506985,0.6222750425914043,0.13626847765271283,0.6218104198331179
3,15.377724207965148,BAO KT,Max,-88.32280509724467,-0.08732277813421824,0.7668686319506985,0.6222750425914043,11.144301410806282,4.925110719126314
3,0.0,BAO KT,Min,-193.9068444217442,-0.6112463740238532,-1.4355388149692407,-0.1765037701549219,-10.931018575619811,-4.474467443731212
3,7.688862103982574,BAO KT,Min,-193.9068444217442,-0.6112463740238532,-1.4355388149692407,-0.1765037701549219,-0.23175321561020126,0.22532163769755081
3,15.377724207965148,BAO KT,Min,-193.9068444217442,-0.6112463740238532,-1.4355388149692407,-0.1765037701549219,-6.07485972074228,0.9019973151429506
4,0.0,BAO KT,Max,-101.37985750460808,0.07196581703063254,0.7316860981562675,0.6221056100634011,5.44048016853489,0.6573504611498042
4,7.688862103982574,BAO KT,Max,-101.37985750460808,0.07196581703063254,0.7316860981562675,0.6221056100634011,0.1417312002162497,0.23600032964369905
4,15.377724207965148,BAO KT,Max,-101.37985750460808,0.07196581703063254,0.7316860981562675,0.6221056100634011,9.595544515576762,3.5840350394509914
4,0.0,BAO KT,Min,-221.5896528828113,-0.4529218199264914,-1.233016386303902,-0.17476137573190864,-9.36544141690646,-3.3808717951482468
4,7.688862103982574,BAO KT,Min,-221.5896528828113,-0.4529218199264914,-1.233016386303902,-0.17476137573190864,-0.2365110247165654,0.09571307215700224
4,15.377724207965148,BAO KT,Min,-221.5896528828113,-0.4529218199264914,-1.233016386303902,-0.17476137573190864,-5.81118685571431,-0.44932002554814465
5,0.0,BAO KT,Max,-105.21171623471916,0.2816342913877636,0.6957319167901925,0.6189521224699389,5.159547464180148,1.9755910003291883
5,7.688862103982574,BAO KT,Max,-105.21171623471916,0.2816342913877636,0.6957319167901925,0.6189521224699389,0.1408211363613475,0.036168681157320345
5,15.377724207965148,BAO KT,Max,-105.21171623471916,0.2816342913877636,0.6957319167901925,0.6189521224699389,8.032817529282246,2.3874251604618584
5,0.0,BAO KT,Min,-229.62382436505737,-0.30866939646579594,-1.0294122999908906,-0.1742666035615842,-7.797200916264751,-2.359207689828204
5,7.688862103982574,BAO KT,Min,-229.62382436505737,-0.30866939646579594,-1.0294122999908906,-0.1742666035615842,-0.23731437505116001,-0.19171471769313464
5,15.377724207965148,BAO KT,Min,-229.62382436505737,-0.30866939646579594,-1.0294122999908906,-0.1742666035615842,-5.539226074898389,-2.3553034601375336
6,0.0,BAO KT,Max,-105.1114211457915,0.3344988775645497,0.658613718292073,0.6153532242653555,4.871773020021602,2.566373310861841
6,7.688862103982574,BAO KT,Max,-105.1114211457915,0.3344988775645497,0.658613718292073,0.6153532242653555,0.13706448994404652,0.2262234484780442
6,15.377724207965148,BAO KT,Max,-105.1114211457915,0.3344988775645497,0.658613718292073,0.6153532242653555,6.4842705443859945,1.571047125687423
6,0.0,BAO KT,Min,-229.5692347663189,-0.189330570251518,-0.827703482758387,-0.17332910722255615,-6.243925339444717,-1.464296850467443
6,7.688862103982574,BAO KT,Min,-229.5692347663189,-0.189330570251518,-0.827703482758387,-0.17332910722255615,-0.2362515614740343,-0.0339269856512661
6,15.377724207965148,BAO KT,Min,-229.5692347663189,-0.189330570251518,-0.827703482758387,-0.17332910722255615,-5.256207099456347,-2.5774581761997046
7,0.0,BAO KT,Max,-104.6053570797993,0.4463834974609502,0.627392905792073,0.6122546862904233,4.6159253945265775,3.406854832033923
7,7.688862103982574,BAO KT,Max,-104.6053570797993,0.4463834974609502,0.627392905792073,0.6122546862904233,0.12750271813104738,-0.0003581645179792025
7,15.377724207965148,BAO KT,Max,-104.6053570797993,0.4463834974609502,0.627392905792073,0.6122546862904233,4.933093580295872,0.7102634918775718
7,0.0,BAO KT,Min,-228.70421483451082,-0.09300454684175957,-0.626178150949155,-0.17133178801427598,-4.696101330053803,-0.7199347795417829
7,7.688862103982574,BAO KT,Min,-228.70421483451082,-0.09300454684175957,-0.626178150949155,-0.17133178801427598,-0.2382743351985421,-0.02845000893073692
7,15.377724207965148,BAO KT,Min,-228.70421483451082,-0.09300454684175957,-0.626178150949155,-0.17133178801427598,-5.031949680777782,-3.4575074829074794
8,0.0,BAO KT,Max,-104.73982085009021,0.621154171724529,0.5945256957856069,0.6094686797008628,4.353180512278215,4.562639765861999
8,7.688862103982574,BAO KT,Max,-104.73982085009021,0.621154171724529,0.5945256957856069,0.6094686797008628,0.12111708795087683,0.10785804795396918
8,15.377724207965148,BAO KT,Max,-104.73982085009021,0.621154171724529,0.5945256957856069,0.6094686797008628,3.398261757948047,1.0740531454887667
8,0.0,BAO KT,Min,-229.04521911063975,-0.12637402135141365,-0.42659236678466567,-0.16967098179243673,-3.1617580076896536,-0.8692917019047715
8,7.688862103982574,BAO KT,Min,-229.04521911063975,-0.12637402135141365,-0.42659236678466567,-0.16967098179243673,-0.2401509118901653,-0.21880633200338828
8,15.377724207965148,BAO KT,Min,-229.04521911063975,-0.12637402135141365,-0.42659236678466567,-0.16967098179243673,-4.789271672061435,-4.989297777544832
9,0.0,BAO KT,Max,-104.70197332614734,0.7025681240675142,0.5538705904388953,0.6072171847847597,4.050364870505255,5.2831940274455444
9,7.688862103982574,BAO KT,Max,-104.70197332614734,0.7025681240675142,0.5538705904388953,0.6072171847847597,0.12498750908370156,0.20061778762575083
9,15.377724207965148,BAO KT,Max,-104.70197332614734,0.7025681240675142,0.5538705904388953,0.6072171847847597,1.899174595863407,1.4951931563366139
9,0.0,BAO KT,Min,-228.87605718355036,-0.16916723390501587,-0.23080318997053323,-0.1684729741486773,-1.6500532058220405,-1.1062139116790508
9,7.688862103982574,BAO KT,Min,-228.87605718355036,-0.16916723390501587,-0.23080318997053323,-0.1684729741486773,-0.2344956355208565,-0.12488356246026262
9,15.377724207965148,BAO KT,Min,-228.87605718355036,-0.16916723390501587,-0.23080318997053323,-0.1684729741486773,-4.466904316166895,-5.5207048217721315
10,0.0,BAO KT,Max,-100.9682765261515,0.8473695348625188,0.5166365457197426,0.6057871749666255,3.823724097142632,6.3091071708809165
10,7.688862103982574,BAO KT,Max,-100.9682765261515,0.8473695348625188,0.5166365457197426,0.6057871749666255,0.13115268961132337,-0.09758487546458801
10,15.377724207965148,BAO KT,Max,-100.9682765261515,0.8473695348625188,0.5166365457197426,0.6057871749666255,0.406908425220582,0.22956587799134248
10,0.0,BAO KT,Min,-220.89730473586235,-0.04416366754959508,-0.03586431020351197,-0.16748869332419708,-0.14460304599793528,-0.44957082159859074
10,7.688862103982574,BAO KT,Min,-220.89730473586235,-0.04416366754959508,-0.03586431020351197,-0.16748869332419708,-0.22175250154381354,-0.21850180172470718
10,15.377724207965148,BAO KT,Min,-220.89730473586235,-0.04416366754959508,-0.03586431020351197,-0.16748869332419708,-4.155370192577456,-6.721507838466606
11,0.0,BAO KT,Max,-87.90625304625,1.1015843173572046,0.5314719767728237,0.6049984392031583,3.9463345684722055,7.866195303982428
11,7.688862103982574,BAO KT,Max,-87.90625304625,1.1015843173572046,0.5314719767728237,0.6049984392031583,0.12934139376568038,-0.22383819416838815
11,15.377724207965148,BAO KT,Max,-87.90625304625,1.1015843173572046,0.5314719767728237,0.6049984392031583,-0.3960608963337948,-0.30279507321323684
11,0.0,BAO KT,Min,-193.1902165421683,0.009111257166836195,0.06833290583106365,-0.16675377564009708,0.6547436838651555,-0.1626846733137839
11,7.688862103982574,BAO KT,Min,-193.1902165421683,0.009111257166836195,0.06833290583106365,-0.16675377564009708,-0.21146009485733808,-0.6126362871820189
11,15.377724207965148,BAO KT,Min,-193.1902165421683,0.009111257166836195,0.06833290583106365,-0.16675377564009708,-4.226494914602335,-9.073664520156221
12,0.0,BAO KT,Max,-85.37490685105962,1.0273089849795014,0.740950364236465,0.6057329821651645,5.496367521901804,8.098962142589588
12,7.688862103982574,BAO KT,Max,-85.37490685105962,1.0273089849795014,0.740950364236465,0.6057329821651645,0.1292061500836933,0.37724983822731134
12,15.377724207965148,BAO KT,Max,-85.37490685105962,1.0273089849795014,0.740950364236465,0.6057329821651645,0.3370586098126272,2.1080896492763364
12,0.0,BAO KT,Min,-185.6748461938309,-0.22712312762832243,-0.027032928529342887,-0.1670395630635145,-0.07864630964524072,-1.3845471686424755
12,7.688862103982574,BAO KT,Min,-185.6748461938309,-0.22712312762832243,-0.027032928529342887,-0.1670395630635145,-0.2035948300364162,0.18464642098951622
12,15.377724207965148,BAO KT,Min,-185.6748461938309,-0.22712312762832243,-0.027032928529342887,-0.1670395630635145,-5.897762831117877,-7.698712104789795
13,0.0,BAO KT,Max,-95.17983456256545,1.3012405118786554,0.9434559698213523,0.6063773068716022,7.048929178594075,9.747010607395413
13,7.688862103982574,BAO KT,Max,-95.17983456256545,1.3012405118786554,0.9434559698213523,0.6063773068716022,0.11391782988777768,0.4275286039626202
13,15.377724207965148,BAO KT,Max,-95.17983456256545,1.3012405118786554,0.9434559698213523,0.6063773068716022,0.6444209225213117,2.196381338089236
13,0.0,BAO KT,Min,-203.37236203028021,-0.23509281250717223,-0.06903454937803014,-0.16767762237973227,-0.4757973076623787,-1.4188110959209186
13,7.688862103982574,BAO KT,Min,-203.37236203028021,-0.23509281250717223,-0.06903454937803014,-0.16767762237973227,-0.20796342794191736,-0.3019292609167546
13,15.377724207965148,BAO KT,Min,-203.37236203028021,-0.23509281250717223,-0.06903454937803014,-0.16767762237973227,-7.459276527676971,-10.263107112505947
14,0.0,BAO KT,Max,-72.19845611559575,0.7859933209625274,1.5582022410510552,0.6353925449668875,11.99348274994514,6.168597064963734
14,7.810731000775932,BAO KT,Max,-72.19845611559575,0.7859933209625274,1.5582022410510552,0.6353925449668875,0.24449696656529774,0.3202979793880468
14,15.621462001551864,BAO KT,Max,-72.19845611559575,0.7859933209625274,1.5582022410510552,0.6353925449668875,6.40089301354829,1.5544318945037316
14,0.0,BAO KT,Min,-174.715488728764,-0.15952802865997903,-0.7900762913097565,-0.1581884511382444,-5.941253749474091,-0.9376291433906072
14,7.810731000775932,BAO KT,Min,-174.715488728764,-0.15952802865997903,-0.7900762913097565,-0.1581884511382444,-0.17721579971086707,-0.04654990655339093
14,15.621462001551864,BAO KT,Min,-174.715488728764,-0.15952802865997903,-0.7900762913097565,-0.1581884511382444,-12.347914349366874,-6.109767731925944
15,0.0,BAO KT,Max,-27.905788767048236,0.04167628505830062,0.8400156154075515,0.6328564677809478,6.227238448692337,0.021955819425641843
15,7.569340238740926,BAO KT,Max,-27.905788767048236,0.04167628505830062,0.8400156154075515,0.6328564677809478,0.15954422328682874,0.056223615285168276
15,15.138680477481852,BAO KT,Max,-27.905788767048236,0.04167628505830062,0.8400156154075515,0.6328564677809478,12.191937278247801,7.3078416595660975
15,0.0,BAO KT,Min,-158.0221656376114,-0.9695382579468268,-1.615670018614582,-0.1897427603819088,-12.267174890605512,-7.369688238185295
15,7.569340238740926,BAO KT,Min,-158.0221656376114,-0.9695382579468268,-1.615670018614582,-0.1897427603819088,-0.3543606159841267,-0.3286800979856165
15,15.138680477481852,BAO KT,Min,-158.0221656376114,-0.9695382579468268,-1.615670018614582,-0.1897427603819088,-6.4894895490578675,-0.6292510143472895
