

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\OneDrive\Nature-Insp...ms\Multiobjectives\MOSFOA\MPJ_Sap\W03\MPJ_3.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
     663 TO     704    A   A   A   A   A   A
     705               -   -   A   -   -   -
     706               A   A   -   A   A   A
     707               A   A   A   A   A   A
     708               -   -   A   -   -   -
     709               A   A   -   A   A   A
     710               A   A   A   A   A   A
     711               -   -   A   -   -   -
     712               A   A   -   A   A   A
     713               A   A   A   A   A   A
     714               -   -   A   -   -   -
     715               A   A   -   A   A   A
     716               A   A   A   A   A   A
     717               -   -   A   -   -   -
     718               A   A   -   A   A   A
     719               A   A   A   A   A   A
     720               -   -   A   -   -   -
     721               A   A   -   A   A   A
     722               A   A   A   A   A   A
     723               -   -   A   -   -   -
     724               A   A   -   A   A   A
     725               -   -   A   -   -   -
     726               A   A   -   A   A   A
     727               -   -   A   -   -   -
     728               A   A   -   A   A   A
     729               -   -   A   -   -   -
     730               A   A   -   A   A   A
     731               -   -   A   -   -   -
     732               A   A   -   A   A   A
     733               -   -   A   -   -   -
     734               A   A   -   A   A   A
     735               -   -   A   -   -   -
     736               A   A   -   A   A   A
     737               -   -   A   -   -   -
     738               A   A   -   A   A   A
     739               -   -   A   -   -   -
     740               A   A   -   A   A   A
     741               -   -   A   -   -   -
     742               A   A   -   A   A   A
     743               -   -   A   -   -   -
     744               A   A   -   A   A   A
     745               -   -   A   -   -   -
     746               A   A   -   A   A   A
     747               -   -   A   -   -   -
     748               A   A   -   A   A   A
     749               -   -   A   -   -   -
     750               A   A   -   A   A   A
     751               -   -   A   -   -   -
     752               A   A   -   A   A   A
     753 TO    ~280    A   A   A   A   A   A
