CatIdx,D_thep_m,t_thep_m,f1_tan,f2_m,is_pareto
3,0.95,0.017,4786.423,0.016174,0
1,0.975,0.017,5792.541,0.031266,0
2,0.975,0.017,4626.916,0.01956,0
3,0.975,0.017,4228.222,0.014028,0
1,1.0,0.017,5314.427,0.02797,0
2,1.0,0.017,4100.549,0.016963,0
3,1.0,0.017,4080.44,0.013294,0
1,1.025,0.017,4847.778,0.02489,0
2,1.025,0.017,3584.941,0.014517,0
3,1.025,0.017,4099.378,0.013118,0
1,1.05,0.017,4392.211,0.022009,0
2,1.05,0.017,3501.807,0.013885,0
3,1.05,0.017,4118.316,0.012948,0
1,1.075,0.017,3952.935,0.01934,0
2,1.075,0.017,3520.745,0.013675,0
3,1.075,0.017,4137.253,0.012783,0
1,1.1,0.017,3564.226,0.017034,0
2,1.1,0.017,3539.682,0.013472,0
3,1.1,0.017,4156.191,0.012622,0
1,0.9,0.018,6626.227,0.037098,0
2,0.9,0.018,5532.036,0.024127,0
3,0.9,0.018,5163.921,0.017581,0
1,0.925,0.018,6116.432,0.033338,0
2,0.925,0.018,4974.536,0.021203,0
3,0.925,0.018,4586.911,0.015321,0
1,0.95,0.018,5619.276,0.029832,0
2,0.95,0.018,4428.683,0.018455,0
3,0.95,0.018,4083.336,0.013383,0
1,0.975,0.018,5134.282,0.026562,0
2,0.975,0.018,3894.171,0.015871,0
3,0.975,0.018,4103.388,0.013201,0
1,1.0,0.018,4661.009,0.02351,0
2,1.0,0.018,3506.931,0.013983,0
3,1.0,0.018,4123.44,0.013024,0
1,1.025,0.018,4199.045,0.02066,0
2,1.025,0.018,3526.983,0.013764,0
3,1.025,0.018,4143.491,0.012852,0
1,1.05,0.018,3782.366,0.018161,0
2,1.05,0.018,3547.035,0.013553,0
3,1.05,0.018,4163.543,0.012686,0
1,1.075,0.018,3389.338,0.015889,0
2,1.075,0.018,3567.086,0.01335,0
3,1.075,0.018,4183.595,0.012525,1
1,1.1,0.018,3030.614,0.013878,1
2,1.1,0.018,3587.138,0.013153,1
3,1.1,0.018,4203.646,0.012368,1
1,0.9,0.019,5996.781,0.032257,0
2,0.9,0.019,4835.879,0.020377,0
3,0.9,0.019,4440.411,0.014688,0
1,0.925,0.019,5491.704,0.028754,0
2,0.925,0.019,4280.905,0.017626,0
3,0.925,0.019,4102.853,0.013311,0
1,0.95,0.019,4999.117,0.025492,0
2,0.95,0.019,3737.626,0.015042,0
3,0.95,0.019,4124.019,0.013127,0
1,0.975,0.019,4518.537,0.022451,0
2,0.975,0.019,3528.676,0.013887,0
3,0.975,0.019,4145.185,0.012948,0
1,1.0,0.019,4059.206,0.019663,0
2,1.0,0.019,3549.842,0.013666,0
3,1.0,0.019,4166.35,0.012775,0
1,1.025,0.019,3650.099,0.017246,0
2,1.025,0.019,3571.008,0.013454,0
3,1.025,0.019,4187.516,0.012607,0
1,1.05,0.019,3252.077,0.014994,0
2,1.05,0.019,3592.173,0.013249,0
3,1.05,0.019,4208.682,0.012444,0
1,1.075,0.019,3056.815,0.01376,1
2,1.075,0.019,3613.339,0.013052,1
3,1.075,0.019,4229.847,0.012287,1
1,1.1,0.019,3077.981,0.013534,1
2,1.1,0.019,3634.505,0.012862,1
3,1.1,0.019,4251.013,0.012134,1
1,0.9,0.02,5406.242,0.02799,0
2,0.9,0.02,4179.726,0.017041,0
3,0.9,0.02,4120.053,0.013256,0
1,0.925,0.02,4905.364,0.024718,0
2,0.925,0.02,3627.056,0.014447,0
3,0.925,0.02,4142.333,0.013069,0
1,0.95,0.02,4416.816,0.021673,0
2,0.95,0.02,3548.104,0.013812,0
3,0.95,0.02,4164.613,0.012888,0
1,0.975,0.02,3967.804,0.01897,0
2,0.975,0.02,3570.384,0.013589,0
3,0.975,0.02,4186.892,0.012713,0
1,1.0,0.02,3552.818,0.016559,0
2,1.0,0.02,3592.663,0.013375,0
3,1.0,0.02,4209.172,0.012543,0
1,1.025,0.02,3149.159,0.014315,0
2,1.025,0.02,3614.943,0.013169,0
3,1.025,0.02,4231.451,0.012379,0
1,1.05,0.02,3080.699,0.013665,0
2,1.05,0.02,3637.223,0.012971,0
3,1.05,0.02,4253.731,0.01222,0
1,1.075,0.02,3102.979,0.013438,1
2,1.075,0.02,3659.502,0.01278,1
3,1.075,0.02,4276.011,0.012067,1
1,1.1,0.02,3125.258,0.01322,1
2,1.1,0.02,3681.782,0.012596,1
3,1.1,0.02,4298.29,0.011918,1
