ThuatToan,SoNghiemPareto,Hypervolume_pct,Spacing,GD,IGD
MOPSO,100,42.095,15.1820380669717,0,0
MOWAA,100,34.625,25.9017334334914,0.0151707549527217,0.011207662124368
MOFDA,10,12.285,0.783662888318285,0.054256250597732,0.0893104480288756
