ThuatToan,SoLanChay,SoNghiem_TB,SoNghiem_SD,HV_TB_pct,HV_SD,Spacing_TB,Spacing_SD,GD_TB,GD_SD,IGD_TB,IGD_SD
MOPSO,10,100,0,56.2235,0.51883443088009,24.569454742057,8.03174747805595,0.000716214798470384,0.000606906646989636,0.00220918800814871,0.00111082216947134
MOWAA,10,100,0,52.691,1.11609388294872,30.9980806157037,9.82174326146808,0.00653260573257495,0.00148264703357199,0.00308909227885191,0.000628767383429524
MOFDA,10,36.4,17.9022034646266,43.2075,4.80190138845483,42.1298073003494,49.8538339031325,0.0318844784589286,0.0129721110663481,0.0203379026936676,0.00860016322544773
