iteration,run01,run02,run03,run04,run05,run06,run07,run08,run09,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20
0,2560.91099999999,2677.82924999999,2996.62124999999,2542.78424999999,2792.99099999999,2621.44199999999,2840.99474999999,2595.29324999999,2583.72824999999,2617.88024999999,2791.59824999999,2499.22049999999,2687.40599999999,2747.90324999999,2780.59649999999,2500.64549999999,2640.54599999999,2576.90099999999,2495.52599999999,2626.13099999999
1,2560.91099999999,2677.82924999999,2779.60049999999,2391.16874999999,2792.99099999999,2621.44199999999,2840.99474999999,2381.59049999999,2311.93049999999,2617.88024999999,2791.59824999999,2499.22049999999,2570.30549999999,2492.09549999999,2780.59649999999,2413.57049999999,2624.55599999999,2524.07549999999,2495.52599999999,2626.13099999999
2,2346.76049999999,2565.89924999999,2682.42074999999,2391.16874999999,2570.58824999999,2621.44199999999,2840.99474999999,2381.59049999999,2311.93049999999,2613.02474999999,2487.10874999999,2499.22049999999,2570.30549999999,2492.09549999999,2780.59649999999,2413.57049999999,2624.55599999999,2524.07549999999,2311.93049999999,2577.61424999999
3,2346.76049999999,2513.07374999999,2682.42074999999,2391.16874999999,2570.58824999999,2621.44199999999,2724.17549999999,2381.59049999999,2311.93049999999,2613.02474999999,2487.10874999999,2329.34549999999,2570.30549999999,2492.09549999999,2471.96324999999,2381.59049999999,2624.55599999999,2524.07549999999,2311.93049999999,2577.61424999999
4,2346.76049999999,2513.07374999999,2682.42074999999,2391.16874999999,2570.58824999999,2440.56374999999,2698.67474999999,2327.92049999999,2311.93049999999,2613.02474999999,2487.10874999999,2329.34549999999,2444.12549999999,2492.09549999999,2471.96324999999,2381.59049999999,2624.55599999999,2518.50824999999,2311.93049999999,2507.92049999999
5,2346.76049999999,2513.07374999999,2682.42074999999,2391.16874999999,2570.58824999999,2440.56374999999,2649.82649999999,2327.92049999999,2311.93049999999,2613.02474999999,2311.93049999999,2329.34549999999,2444.12549999999,2492.09549999999,2471.96324999999,2381.59049999999,2567.19149999999,2442.70049999999,2311.93049999999,2507.92049999999
6,2346.76049999999,2382.17099999999,2682.42074999999,2391.16874999999,2570.58824999999,2423.99324999999,2649.82649999999,2311.93049999999,2311.93049999999,2466.39599999999,2311.93049999999,2311.93049999999,2444.12549999999,2423.14874999999,2471.96324999999,2381.59049999999,2448.40049999999,2409.29549999999,2311.93049999999,2311.93049999999
7,2346.76049999999,2382.17099999999,2682.42074999999,2391.16874999999,2570.58824999999,2364.17549999999,2649.82649999999,2311.93049999999,2311.93049999999,2466.39599999999,2311.93049999999,2311.93049999999,2435.70824999999,2423.14874999999,2471.96324999999,2311.93049999999,2448.40049999999,2393.30549999999,2311.93049999999,2311.93049999999
8,2346.76049999999,2364.17549999999,2606.71049999999,2346.76049999999,2570.58824999999,2364.17549999999,2583.31424999999,2311.93049999999,2311.93049999999,2389.16324999999,2311.93049999999,2311.93049999999,2435.70824999999,2380.74599999999,2329.34549999999,2311.93049999999,2448.40049999999,2393.30549999999,2311.93049999999,2311.93049999999
9,2346.76049999999,2364.17549999999,2606.71049999999,2346.76049999999,2570.58824999999,2364.17549999999,2415.57599999999,2311.93049999999,2311.93049999999,2389.16324999999,2311.93049999999,2311.93049999999,2403.72824999999,2354.33324999999,2329.34549999999,2311.93049999999,2387.73824999999,2393.30549999999,2311.93049999999,2311.93049999999
10,2311.93049999999,2364.17549999999,2606.71049999999,2346.76049999999,2338.34324999999,2364.17549999999,2346.76049999999,2311.93049999999,2311.93049999999,2389.16324999999,2311.93049999999,2311.93049999999,2403.72824999999,2311.93049999999,2329.34549999999,2311.93049999999,2338.34324999999,2393.30549999999,2311.93049999999,2311.93049999999
11,2311.93049999999,2329.34549999999,2512.36049999999,2346.76049999999,2338.34324999999,2364.17549999999,2346.76049999999,2311.93049999999,2311.93049999999,2389.16324999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2327.92049999999,2393.30549999999,2311.93049999999,2311.93049999999
12,2311.93049999999,2329.34549999999,2311.93049999999,2329.34549999999,2311.93049999999,2311.93049999999,2346.76049999999,2311.93049999999,2311.93049999999,2329.34549999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2393.30549999999,2311.93049999999,2311.93049999999
13,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
14,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
15,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
16,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
17,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
18,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
19,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
20,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
21,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
22,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
23,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
24,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
25,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
26,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
27,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
28,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
29,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
30,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
31,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
32,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
33,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
34,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
35,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
36,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
37,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
38,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
39,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
40,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
41,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999,2311.93049999999
