 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Bai 6 MOSFOA - SONG SONG] Np=20 Max_it=100 Nr=100 Num_work=8 (FE uoc tinh=2020)
ERROR: The process "SAP2000.exe" not found. 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to parallel pool with 8 workers.
KHOI TAO SEED MOI cho run nay: 514504181 (da luu, xem ket qua .mat truong rngSeedUsed).
The he #0 - Kich thuoc Repository: 7 (kha thi: 20/20)
Vong lap 1/100 - Repository: 8 - FE luy ke: 40 - Thoi gian: 3.4 phut
Vong lap 2/100 - Repository: 11 - FE luy ke: 60 - Thoi gian: 7.0 phut
Vong lap 3/100 - Repository: 12 - FE luy ke: 80 - Thoi gian: 10.3 phut
Vong lap 4/100 - Repository: 13 - FE luy ke: 100 - Thoi gian: 13.8 phut
Vong lap 5/100 - Repository: 16 - FE luy ke: 120 - Thoi gian: 17.3 phut
Vong lap 6/100 - Repository: 19 - FE luy ke: 140 - Thoi gian: 20.7 phut
Vong lap 7/100 - Repository: 20 - FE luy ke: 160 - Thoi gian: 24.2 phut
Vong lap 8/100 - Repository: 22 - FE luy ke: 180 - Thoi gian: 27.8 phut
Vong lap 9/100 - Repository: 18 - FE luy ke: 200 - Thoi gian: 31.1 phut
Vong lap 10/100 - Repository: 20 - FE luy ke: 220 - Thoi gian: 34.6 phut
Vong lap 11/100 - Repository: 23 - FE luy ke: 240 - Thoi gian: 38.1 phut
Vong lap 12/100 - Repository: 23 - FE luy ke: 260 - Thoi gian: 41.8 phut
Vong lap 13/100 - Repository: 23 - FE luy ke: 280 - Thoi gian: 45.4 phut
Vong lap 14/100 - Repository: 24 - FE luy ke: 300 - Thoi gian: 49.0 phut
Vong lap 15/100 - Repository: 23 - FE luy ke: 320 - Thoi gian: 52.5 phut
Vong lap 16/100 - Repository: 23 - FE luy ke: 340 - Thoi gian: 56.0 phut
Vong lap 17/100 - Repository: 22 - FE luy ke: 360 - Thoi gian: 59.5 phut
Vong lap 18/100 - Repository: 23 - FE luy ke: 380 - Thoi gian: 63.1 phut
Vong lap 19/100 - Repository: 24 - FE luy ke: 400 - Thoi gian: 66.6 phut
Vong lap 20/100 - Repository: 26 - FE luy ke: 420 - Thoi gian: 70.0 phut
Vong lap 21/100 - Repository: 25 - FE luy ke: 440 - Thoi gian: 73.3 phut
Vong lap 22/100 - Repository: 26 - FE luy ke: 460 - Thoi gian: 77.0 phut
Vong lap 23/100 - Repository: 27 - FE luy ke: 480 - Thoi gian: 80.3 phut
Vong lap 24/100 - Repository: 28 - FE luy ke: 500 - Thoi gian: 84.1 phut
Vong lap 25/100 - Repository: 28 - FE luy ke: 520 - Thoi gian: 87.6 phut
