 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Bai 6 MOSFOA - SONG SONG] Np=20 Max_it=100 Nr=100 Num_work=8 (FE uoc tinh=2020)
ERROR: The process "SAP2000.exe" not found. 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to parallel pool with 8 workers.
KHOI TAO SEED MOI cho run nay: 510261322 (da luu, xem ket qua .mat truong rngSeedUsed).
The he #0 - Kich thuoc Repository: 8 (kha thi: 20/20)
Vong lap 1/100 - Repository: 9 - FE luy ke: 40 - Thoi gian: 3.4 phut
Vong lap 2/100 - Repository: 11 - FE luy ke: 60 - Thoi gian: 6.7 phut
Vong lap 3/100 - Repository: 14 - FE luy ke: 80 - Thoi gian: 10.1 phut
Vong lap 4/100 - Repository: 15 - FE luy ke: 100 - Thoi gian: 13.4 phut
Vong lap 5/100 - Repository: 14 - FE luy ke: 120 - Thoi gian: 16.7 phut
Vong lap 6/100 - Repository: 18 - FE luy ke: 140 - Thoi gian: 20.1 phut
Vong lap 7/100 - Repository: 19 - FE luy ke: 160 - Thoi gian: 23.5 phut
Vong lap 8/100 - Repository: 20 - FE luy ke: 180 - Thoi gian: 26.8 phut
Vong lap 9/100 - Repository: 20 - FE luy ke: 200 - Thoi gian: 30.2 phut
Vong lap 10/100 - Repository: 20 - FE luy ke: 220 - Thoi gian: 33.6 phut
Vong lap 11/100 - Repository: 22 - FE luy ke: 240 - Thoi gian: 36.9 phut
Vong lap 12/100 - Repository: 22 - FE luy ke: 260 - Thoi gian: 40.3 phut
Vong lap 13/100 - Repository: 24 - FE luy ke: 280 - Thoi gian: 43.6 phut
Vong lap 14/100 - Repository: 24 - FE luy ke: 300 - Thoi gian: 47.0 phut
Vong lap 15/100 - Repository: 25 - FE luy ke: 320 - Thoi gian: 50.3 phut
Vong lap 16/100 - Repository: 29 - FE luy ke: 340 - Thoi gian: 53.7 phut
Vong lap 17/100 - Repository: 30 - FE luy ke: 360 - Thoi gian: 57.1 phut
Vong lap 18/100 - Repository: 32 - FE luy ke: 380 - Thoi gian: 60.4 phut
Vong lap 19/100 - Repository: 32 - FE luy ke: 400 - Thoi gian: 63.8 phut
Vong lap 20/100 - Repository: 32 - FE luy ke: 420 - Thoi gian: 67.1 phut
Vong lap 21/100 - Repository: 33 - FE luy ke: 440 - Thoi gian: 70.5 phut
Vong lap 22/100 - Repository: 33 - FE luy ke: 460 - Thoi gian: 73.8 phut
Vong lap 23/100 - Repository: 33 - FE luy ke: 480 - Thoi gian: 77.2 phut
Vong lap 24/100 - Repository: 36 - FE luy ke: 500 - Thoi gian: 80.6 phut
Vong lap 25/100 - Repository: 36 - FE luy ke: 520 - Thoi gian: 83.9 phut
Vong lap 26/100 - Repository: 36 - FE luy ke: 540 - Thoi gian: 87.3 phut
Vong lap 27/100 - Repository: 39 - FE luy ke: 560 - Thoi gian: 90.6 phut
Vong lap 28/100 - Repository: 40 - FE luy ke: 580 - Thoi gian: 94.0 phut
Vong lap 29/100 - Repository: 41 - FE luy ke: 600 - Thoi gian: 97.4 phut
Vong lap 30/100 - Repository: 41 - FE luy ke: 620 - Thoi gian: 100.7 phut
Vong lap 31/100 - Repository: 42 - FE luy ke: 640 - Thoi gian: 104.0 phut
Vong lap 32/100 - Repository: 42 - FE luy ke: 660 - Thoi gian: 107.4 phut
Vong lap 33/100 - Repository: 47 - FE luy ke: 680 - Thoi gian: 110.7 phut
Vong lap 34/100 - Repository: 46 - FE luy ke: 700 - Thoi gian: 114.1 phut
Vong lap 35/100 - Repository: 46 - FE luy ke: 720 - Thoi gian: 117.4 phut
Vong lap 36/100 - Repository: 47 - FE luy ke: 740 - Thoi gian: 120.8 phut
Vong lap 37/100 - Repository: 49 - FE luy ke: 760 - Thoi gian: 124.1 phut
Vong lap 38/100 - Repository: 49 - FE luy ke: 780 - Thoi gian: 127.5 phut
Vong lap 39/100 - Repository: 52 - FE luy ke: 800 - Thoi gian: 130.8 phut
Vong lap 40/100 - Repository: 52 - FE luy ke: 820 - Thoi gian: 134.2 phut
Vong lap 41/100 - Repository: 53 - FE luy ke: 840 - Thoi gian: 137.5 phut
Vong lap 42/100 - Repository: 53 - FE luy ke: 860 - Thoi gian: 140.9 phut
Vong lap 43/100 - Repository: 54 - FE luy ke: 880 - Thoi gian: 144.3 phut
Vong lap 44/100 - Repository: 57 - FE luy ke: 900 - Thoi gian: 147.6 phut
Vong lap 45/100 - Repository: 57 - FE luy ke: 920 - Thoi gian: 150.9 phut
Vong lap 46/100 - Repository: 57 - FE luy ke: 940 - Thoi gian: 154.3 phut
Vong lap 47/100 - Repository: 57 - FE luy ke: 960 - Thoi gian: 157.6 phut
Vong lap 48/100 - Repository: 58 - FE luy ke: 980 - Thoi gian: 161.0 phut
Vong lap 49/100 - Repository: 60 - FE luy ke: 1000 - Thoi gian: 164.3 phut
Vong lap 50/100 - Repository: 60 - FE luy ke: 1020 - Thoi gian: 167.7 phut
Vong lap 51/100 - Repository: 62 - FE luy ke: 1040 - Thoi gian: 171.0 phut
Vong lap 52/100 - Repository: 60 - FE luy ke: 1060 - Thoi gian: 174.3 phut
Vong lap 53/100 - Repository: 60 - FE luy ke: 1080 - Thoi gian: 177.7 phut
Vong lap 54/100 - Repository: 62 - FE luy ke: 1100 - Thoi gian: 181.2 phut
Vong lap 55/100 - Repository: 62 - FE luy ke: 1120 - Thoi gian: 184.5 phut
Vong lap 56/100 - Repository: 62 - FE luy ke: 1140 - Thoi gian: 187.9 phut
Vong lap 57/100 - Repository: 61 - FE luy ke: 1160 - Thoi gian: 191.2 phut
Vong lap 58/100 - Repository: 63 - FE luy ke: 1180 - Thoi gian: 194.5 phut
Vong lap 59/100 - Repository: 63 - FE luy ke: 1200 - Thoi gian: 197.9 phut
Vong lap 60/100 - Repository: 64 - FE luy ke: 1220 - Thoi gian: 201.3 phut
Vong lap 61/100 - Repository: 63 - FE luy ke: 1240 - Thoi gian: 204.6 phut
Vong lap 62/100 - Repository: 63 - FE luy ke: 1260 - Thoi gian: 208.0 phut
