 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Bai 6 MOSFOA - SONG SONG] Np=20 Max_it=100 Nr=100 Num_work=8 (FE uoc tinh=2020)
ERROR: The process "SAP2000.exe" not found. 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to parallel pool with 8 workers.
KHOI TAO SEED MOI cho run nay: 516629849 (da luu, xem ket qua .mat truong rngSeedUsed).
The he #0 - Kich thuoc Repository: 10 (kha thi: 20/20)
Vong lap 66/100 - Repository: 69 - FE luy ke: 1340 - Thoi gian: 231.2 phut
Vong lap 67/100 - Repository: 69 - FE luy ke: 1360 - Thoi gian: 234.7 phut
Vong lap 68/100 - Repository: 69 - FE luy ke: 1380 - Thoi gian: 238.2 phut
Vong lap 69/100 - Repository: 69 - FE luy ke: 1400 - Thoi gian: 241.8 phut
Vong lap 70/100 - Repository: 69 - FE luy ke: 1420 - Thoi gian: 245.2 phut
Vong lap 71/100 - Repository: 69 - FE luy ke: 1440 - Thoi gian: 248.7 phut
Vong lap 72/100 - Repository: 70 - FE luy ke: 1460 - Thoi gian: 252.2 phut
Vong lap 73/100 - Repository: 71 - FE luy ke: 1480 - Thoi gian: 255.8 phut
Vong lap 74/100 - Repository: 71 - FE luy ke: 1500 - Thoi gian: 259.3 phut
Vong lap 75/100 - Repository: 71 - FE luy ke: 1520 - Thoi gian: 262.8 phut
Vong lap 76/100 - Repository: 72 - FE luy ke: 1540 - Thoi gian: 266.4 phut
Vong lap 77/100 - Repository: 72 - FE luy ke: 1560 - Thoi gian: 269.8 phut
Vong lap 78/100 - Repository: 72 - FE luy ke: 1580 - Thoi gian: 273.3 phut
Vong lap 79/100 - Repository: 72 - FE luy ke: 1600 - Thoi gian: 276.8 phut
Vong lap 80/100 - Repository: 72 - FE luy ke: 1620 - Thoi gian: 280.2 phut
Vong lap 81/100 - Repository: 73 - FE luy ke: 1640 - Thoi gian: 283.6 phut
Vong lap 82/100 - Repository: 73 - FE luy ke: 1660 - Thoi gian: 287.0 phut
Vong lap 83/100 - Repository: 73 - FE luy ke: 1680 - Thoi gian: 290.3 phut
Vong lap 84/100 - Repository: 73 - FE luy ke: 1700 - Thoi gian: 293.9 phut
Vong lap 85/100 - Repository: 73 - FE luy ke: 1720 - Thoi gian: 297.3 phut
Vong lap 86/100 - Repository: 74 - FE luy ke: 1740 - Thoi gian: 300.7 phut
Vong lap 87/100 - Repository: 74 - FE luy ke: 1760 - Thoi gian: 304.2 phut
Vong lap 88/100 - Repository: 75 - FE luy ke: 1780 - Thoi gian: 307.6 phut
Vong lap 89/100 - Repository: 75 - FE luy ke: 1800 - Thoi gian: 311.1 phut
Vong lap 90/100 - Repository: 75 - FE luy ke: 1820 - Thoi gian: 314.7 phut
Vong lap 91/100 - Repository: 75 - FE luy ke: 1840 - Thoi gian: 318.3 phut
Vong lap 92/100 - Repository: 75 - FE luy ke: 1860 - Thoi gian: 321.9 phut
Vong lap 93/100 - Repository: 75 - FE luy ke: 1880 - Thoi gian: 325.3 phut
Vong lap 94/100 - Repository: 75 - FE luy ke: 1900 - Thoi gian: 328.7 phut
Vong lap 95/100 - Repository: 75 - FE luy ke: 1920 - Thoi gian: 332.1 phut
Vong lap 96/100 - Repository: 75 - FE luy ke: 1940 - Thoi gian: 335.6 phut
Vong lap 97/100 - Repository: 75 - FE luy ke: 1960 - Thoi gian: 339.0 phut
Vong lap 98/100 - Repository: 75 - FE luy ke: 1980 - Thoi gian: 342.6 phut
Vong lap 99/100 - Repository: 75 - FE luy ke: 2000 - Thoi gian: 345.9 phut
Vong lap 100/100 - Repository: 75 - FE luy ke: 2020 - Thoi gian: 349.5 phut
HOAN THANH campaign MOSFOA Bai 6. Tong thoi gian: 5.82 gio. So nghiem Pareto: 75. Seed=516629849
