 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Bai 6 MOSFOA - SONG SONG] Np=20 Max_it=100 Nr=100 Num_work=8 (FE uoc tinh=2020)
ERROR: The process "SAP2000.exe" not found. 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to parallel pool with 8 workers.
KHOI TAO SEED MOI cho run nay: 488938522 (da luu, xem ket qua .mat truong rngSeedUsed).
The he #0 - Kich thuoc Repository: 5 (kha thi: 20/20)
Vong lap 1/100 - Repository: 7 - FE luy ke: 40 - Thoi gian: 3.4 phut
Vong lap 2/100 - Repository: 10 - FE luy ke: 60 - Thoi gian: 7.0 phut
Vong lap 3/100 - Repository: 10 - FE luy ke: 80 - Thoi gian: 10.4 phut
Vong lap 4/100 - Repository: 11 - FE luy ke: 100 - Thoi gian: 13.9 phut
Vong lap 5/100 - Repository: 12 - FE luy ke: 120 - Thoi gian: 17.5 phut
Vong lap 6/100 - Repository: 15 - FE luy ke: 140 - Thoi gian: 20.9 phut
Vong lap 7/100 - Repository: 13 - FE luy ke: 160 - Thoi gian: 24.3 phut
Vong lap 8/100 - Repository: 14 - FE luy ke: 180 - Thoi gian: 27.8 phut
Vong lap 9/100 - Repository: 14 - FE luy ke: 200 - Thoi gian: 31.3 phut
Vong lap 10/100 - Repository: 17 - FE luy ke: 220 - Thoi gian: 34.8 phut
Vong lap 11/100 - Repository: 18 - FE luy ke: 240 - Thoi gian: 38.2 phut
Vong lap 12/100 - Repository: 21 - FE luy ke: 260 - Thoi gian: 41.7 phut
Vong lap 13/100 - Repository: 22 - FE luy ke: 280 - Thoi gian: 45.1 phut
Vong lap 14/100 - Repository: 24 - FE luy ke: 300 - Thoi gian: 48.5 phut
Vong lap 15/100 - Repository: 22 - FE luy ke: 320 - Thoi gian: 51.9 phut
Vong lap 16/100 - Repository: 28 - FE luy ke: 340 - Thoi gian: 55.5 phut
Vong lap 17/100 - Repository: 29 - FE luy ke: 360 - Thoi gian: 59.0 phut
Vong lap 18/100 - Repository: 30 - FE luy ke: 380 - Thoi gian: 62.6 phut
Vong lap 19/100 - Repository: 30 - FE luy ke: 400 - Thoi gian: 66.1 phut
Vong lap 20/100 - Repository: 30 - FE luy ke: 420 - Thoi gian: 69.5 phut
Vong lap 21/100 - Repository: 32 - FE luy ke: 440 - Thoi gian: 72.9 phut
Vong lap 22/100 - Repository: 34 - FE luy ke: 460 - Thoi gian: 76.3 phut
Vong lap 23/100 - Repository: 35 - FE luy ke: 480 - Thoi gian: 79.9 phut
Vong lap 24/100 - Repository: 34 - FE luy ke: 500 - Thoi gian: 83.4 phut
Vong lap 25/100 - Repository: 33 - FE luy ke: 520 - Thoi gian: 86.8 phut
Vong lap 26/100 - Repository: 36 - FE luy ke: 540 - Thoi gian: 90.3 phut
